axis,class_or_status,count,image_ids
specimen_status,OK,0,
specimen_status,NG,13,"20260827_171517;20260827_171519;20260827_171532;20260827_171544;20260827_171549;20260827_171555;20260827_171556;20260827_171602;20260827_171603;20260827_171611;20260827_171925;20260827_171929;20260827_171931"
specimen_status,HOLD,4,"20260827_171640;20260827_171641;20260827_171652;20260827_171936"
visible_class,scratch_confirmed,6,"20260827_171602;20260827_171603;20260827_171611;20260827_171925;20260827_171929;20260827_171931"
visible_class,surface_spot_unknown,2,"20260827_171611;20260827_171925"
visible_class,lead_deformation_review,1,20260827_171925
visible_class,no_visible_defect_on_view,4,"20260827_171544;20260827_171549;20260827_171555;20260827_171556"
visible_class,quality_hold,4,"20260827_171517;20260827_171519;20260827_171532;20260827_171936"
visible_class,multi_part_hold,3,"20260827_171640;20260827_171641;20260827_171652"
visible_class,breakage_confirmed,0,
visible_class,discoloration_confirmed,0,
visible_class,contamination_confirmed,0,
