image_id,filename,source_physical_part_id,audit_specimen_group,view,qc,visible_primary,visible_multilabel,scratch_state,surface_spot_state,discoloration_state,contamination_state,breakage_state,lead_deformation_state,view_status,specimen_status,normal_training_eligible,confidence,evidence
20260827_171517,20260827_171517.jpg,OBJ-01,SPEC-A,front,defocus,quality_hold,quality_hold,unobservable,unobservable,unobservable,unobservable,unobservable,unobservable,HOLD,NG,NO,medium,"세부 판독 불가; source identity상 후면 scratch가 확인된 specimen group"
20260827_171519,20260827_171519.jpg,OBJ-01,SPEC-A,front,defocus,quality_hold,quality_hold,unobservable,unobservable,unobservable,unobservable,unobservable,unobservable,HOLD,NG,NO,medium,"흐림으로 표면 판독 불가; source identity상 후면 scratch가 확인된 specimen group"
20260827_171532,20260827_171532.jpg,OBJ-01,SPEC-A,front,severe_defocus,quality_hold,quality_hold,unobservable,unobservable,unobservable,unobservable,unobservable,unobservable,HOLD,NG,NO,medium,"심한 defocus; source identity상 후면 scratch가 확인된 specimen group"
20260827_171544,20260827_171544.jpg,OBJ-01,SPEC-A,front,usable,no_visible_defect_on_view,no_visible_defect_on_view,not_visible,not_observed,not_observed,not_observed,not_observed,not_observed,VIEW_OK,NG,NO,medium,"촬영 전면에는 결함이 없으나 같은 recorded specimen 후면에서 scratch 확인"
20260827_171549,20260827_171549.jpg,OBJ-01,SPEC-A,front,good,no_visible_defect_on_view,no_visible_defect_on_view,not_visible,not_observed,not_observed,not_observed,not_observed,not_observed,VIEW_OK,NG,NO,high,"촬영 전면에는 결함이 없으나 같은 recorded specimen 후면에서 scratch 확인"
20260827_171555,20260827_171555.jpg,OBJ-01,SPEC-A,front,usable,no_visible_defect_on_view,no_visible_defect_on_view,not_visible,not_observed,not_observed,not_observed,not_observed,not_observed,VIEW_OK,NG,NO,medium,"촬영 전면에는 결함이 없으나 같은 recorded specimen 후면에서 scratch 확인"
20260827_171556,20260827_171556.jpg,OBJ-01,SPEC-A,front,usable,no_visible_defect_on_view,no_visible_defect_on_view,not_visible,not_observed,not_observed,not_observed,not_observed,not_observed,VIEW_OK,NG,NO,medium,"171555 근접 중복; 같은 recorded specimen 후면에서 scratch 확인"
20260827_171602,20260827_171602.jpg,OBJ-01,SPEC-A,back,good,scratch,scratch,positive,not_observed,ambiguous,ambiguous,not_observed,not_observed,NG,NG,NO,high,"금속 tab의 연속 선형 손상이 다음 frame에서도 반복"
20260827_171603,20260827_171603.jpg,OBJ-01,SPEC-A,back,good,scratch,scratch,positive,not_observed,ambiguous,ambiguous,not_observed,not_observed,NG,NG,NO,high,"171602와 같은 위치와 형상의 scratch 반복"
20260827_171611,20260827_171611.jpg,OBJ-01,SPEC-A,back,good,scratch,scratch;surface_spot_unknown,positive,positive,ambiguous,ambiguous,not_observed,not_observed,NG,NG,NO,high,"복수 scratch와 지속되는 dark spot; spot 세부 종류는 미확정"
20260827_171640,20260827_171640.jpg,,SCENE-01,group_mixed,detection_only,multi_part_hold,multi_part_hold,unobservable,unobservable,unobservable,unobservable,unobservable,unobservable,HOLD,HOLD,NO,low,"다수 부품 혼재로 개별 표면 결함과 정상 여부 판독 불가"
20260827_171641,20260827_171641.jpg,,SCENE-01,group_mixed,detection_only,multi_part_hold,multi_part_hold,unobservable,unobservable,unobservable,unobservable,unobservable,unobservable,HOLD,HOLD,NO,low,"171640과 동일 장면의 연속 frame; 개별 표면 픽셀 부족"
20260827_171652,20260827_171652.jpg,,SCENE-01,group_mixed,detection_only,multi_part_hold,multi_part_hold,unobservable,unobservable,unobservable,unobservable,unobservable,unobservable,HOLD,HOLD,NO,low,"동일 장면의 원거리 blur frame; 미세 결함 판독 불가"
20260827_171925,20260827_171925.jpg,OBJ-01,SPEC-A,back,good,scratch,scratch;surface_spot_unknown;lead_deformation_review,positive,positive,ambiguous,ambiguous,ambiguous,review,NG,NG,NO,high,"복수 scratch와 동일 dark spot; outer lead 이상은 자세 영향과 구분 불가"
20260827_171929,20260827_171929.jpg,OBJ-01,SPEC-B,back,soft,scratch,scratch,positive,not_observed,ambiguous,ambiguous,not_observed,not_observed,NG,NG,NO,high,"우하부 곡선형 흔적이 다음 frame의 동일 위치에서 반복"
20260827_171931,20260827_171931.jpg,OBJ-01,SPEC-B,back,soft,scratch,scratch,positive,not_observed,ambiguous,ambiguous,not_observed,not_observed,NG,NG,NO,high,"171929와 동일 좌표의 곡선형 scratch 재현"
20260827_171936,20260827_171936.jpg,OBJ-01,SPEC-U-936,back,soft_overexposed,quality_hold,quality_hold;scratch_suspected,ambiguous,unobservable,unobservable,unobservable,unobservable,unobservable,HOLD,HOLD,NO,low,"blur와 과노출 및 부분 crop으로 specimen 연결과 결함 독립 확인 불가"
