image_id,filename,source_zip_entry,source_sha256,raw_width,raw_height,source_exif_orientation,normalized_width,normalized_height,normalized_sha256
20260827_171517,20260827_171517.jpg,소형부품검출 이미지( 결함포함)/20260827_171517.jpg,371f97318c4d901ef635eb10428e8ba5896168acdae2a1106633aedc4a4657ab,4000,3000,6,3000,4000,4655de0001cf476b34c3a72a64aa9553151bca05d803bd815961fb38ceead13d
20260827_171519,20260827_171519.jpg,소형부품검출 이미지( 결함포함)/20260827_171519.jpg,b233043fd84abe27f89c815da3ce840973725020ee342c578fd78405a15eb705,4000,3000,6,3000,4000,bdc3f09ee578735a9a62505e779d59bf81c67b53861ec310e24f10ee30589f17
20260827_171532,20260827_171532.jpg,소형부품검출 이미지( 결함포함)/20260827_171532.jpg,813803742ee3f0b459cf8481723cbb5f3fb0162d48134f554633810088de407c,4000,3000,6,3000,4000,bc1044e9200c3c50db8d6caf3b8e04f43c232b00fb67ef5ce33d5d3e2c71b881
20260827_171544,20260827_171544.jpg,소형부품검출 이미지( 결함포함)/20260827_171544.jpg,f8ce0735ec1b56b64fc5dc0a0b61a52ee4073e0d9a4296b82fb3e335f95b22ec,4000,3000,6,3000,4000,635c2e01786792a28b800a42461220c1219578f1701984a67254dc647c7e7496
20260827_171549,20260827_171549.jpg,소형부품검출 이미지( 결함포함)/20260827_171549.jpg,086bc1b30f8999938107db1566585d87f8a72dede99af807cad13d53d0ce218e,4000,3000,6,3000,4000,feb4efe7e3d4e1ea69e9703e133d609c10ec279c6f89df63a8b5d346cc8e6fd1
20260827_171555,20260827_171555.jpg,소형부품검출 이미지( 결함포함)/20260827_171555.jpg,4f1672357d62601af2ca504c7b93cb6cf4924b717d11da4b6cd14087b3da0f27,4000,3000,6,3000,4000,c663f3788f3f7fac6bcd0229f2c187fc2735f7847d1e144406bfb2c92d36113d
20260827_171556,20260827_171556.jpg,소형부품검출 이미지( 결함포함)/20260827_171556.jpg,d164998a3be68cfaa0e43a77c8bddcbd13d40ac266efa9cd7ee1b484f5882fb9,4000,3000,6,3000,4000,78691a60041965eb232b947a014882abf0a7f895429e2bba05814ea0ecca7142
20260827_171602,20260827_171602.jpg,소형부품검출 이미지( 결함포함)/20260827_171602.jpg,760a912d860620c5ff5f63635b6747bfcbddba8b9787f2c36ead8f0480346c32,4000,3000,6,3000,4000,8ff13e1409cfc453c04b6d305ea806eeaed5292db211e407cef011f6310f370f
20260827_171603,20260827_171603.jpg,소형부품검출 이미지( 결함포함)/20260827_171603.jpg,b631851e0f20f6f5b4179dcd4ca649f7d6e4dfe8236b94f5e2af7a0d87685138,4000,3000,6,3000,4000,0b997fa6d9988e664ecbdd1b2101e1546178ab497f6890bd18fc12febf936701
20260827_171611,20260827_171611.jpg,소형부품검출 이미지( 결함포함)/20260827_171611.jpg,137ee359246abb2f2869124ad5cdca22e99c1f1091c170b77d0a628bc1de2cbc,4000,3000,6,3000,4000,352fc72c5315f4fe2dd8e80d09b6cd1e4ba176bf968c5cd183d9555ffff48521
20260827_171640,20260827_171640.jpg,소형부품검출 이미지( 결함포함)/20260827_171640.jpg,e17e12a2eb140419665539e193d412f61483c729ec07d9f86b3ef589286c2f19,4000,3000,6,3000,4000,3ec6745413972b000dd63fc6b3598959b0b9c59f4ff47df45f21200df1b29972
20260827_171641,20260827_171641.jpg,소형부품검출 이미지( 결함포함)/20260827_171641.jpg,6471c8b41da65e52c343dcfb3ba62a4b58ca7851933563acae1492991ca70431,4000,3000,6,3000,4000,f333b181cc098d6cedab6efa7648c2f4045e50135389f393a8792c87211e6832
20260827_171652,20260827_171652.jpg,소형부품검출 이미지( 결함포함)/20260827_171652.jpg,d9fea222b58036312855cc94908518e9890ffeae040de97c2c89c86246fb824a,4000,3000,6,3000,4000,d0bcde7e6df1d2d6e87cb486ad4b2191b8718c80b411fa22efdcd8de95dc2d65
20260827_171925,20260827_171925.jpg,소형부품검출 이미지( 결함포함)/20260827_171925.jpg,55a85355b14de0d37b774331ae028833869762f8bb1514fcc6dd5b537c205ec1,4080,3060,6,3060,4080,4b65b9988c103f0250d270fd7d4ad72dc99ae4051b9c183224d183d0e826b667
20260827_171929,20260827_171929.jpg,소형부품검출 이미지( 결함포함)/20260827_171929.jpg,b6078a64cadf87c598ef9708d929df5c0183a07dafcdbbd0877519f4fffbc4d7,4080,3060,6,3060,4080,d9bc7764e846de0b0ac9a561a9f6039f651f971dfa3a474f98b4df4d7b162956
20260827_171931,20260827_171931.jpg,소형부품검출 이미지( 결함포함)/20260827_171931.jpg,4ff1351a6a1dbb08eac7b4ebf728782d920e18b2440c4fcdea6893f892649b9d,4080,3060,6,3060,4080,2907633019b682ca067507137427eda44da4c36e6354d90e948080672ebfef8a
20260827_171936,20260827_171936.jpg,소형부품검출 이미지( 결함포함)/20260827_171936.jpg,a693e73ac1323a7c16b1335f513bccbf540f83203e4fdc93324b03366a9252e9,4080,3060,6,3060,4080,66ff6e8c92409fab67250229c97bb71214ddfea8fa5b967d1573d801def30f05
