sample_id,image_path,mask_path,domain,split,base_image_id,base_group_id,source_specimen_group,view,primary_class,visible_multilabel,severity,global_seed,sample_seed,generator_version,config_sha256,base_sha256,image_sha256,mask_sha256,width,height,defect_pixels,mask_area_ratio_image,roi_inside_ratio,pre_transform_mean_abs_delta,bbox_x,bbox_y,bbox_w,bbox_h,training_use,evaluation_eligible,qc_status,human_verified,parameters_json
syn-v1-normal_proxy-0000,synthetic/v1/images/normal_proxy/syn-v1-normal_proxy-0000.jpg,synthetic/v1/masks/normal_proxy/syn-v1-normal_proxy-0000.png,synthetic_restored,train,IMGGEN-CLEAN-BACK-V1,SYNTH-BASE-KIA7809AF-BACK-001,SPEC-A,back,normal_proxy,,none,7809208,1478862536,1.1.0,8b2f54d280edcdcf51b05acce605bc5cba56bcf2e9d09ba6f3bef47f0bfaac21,cb5fed83f6415c3bb3f6c26fce8fee402b064f28c0ad1c03b1bdc5dfa8d1ad8a,4608b9269093126b915632f6cc0fb6208eb37336fc2a7660cf7018780cf7235c,65795a5b91030a2a433dae510d1edf494082a9cfa1153cd94f3797759f68f257,512,512,0,0.0000000000,1.0000000000,0.0000000000,0,0,0,0,TRAIN_ONLY_PSEUDO_NORMAL,NO,AUTO_PASS,NO,"{""attempt"":0,""effective_seed"":1478862536,""geometry"":{""rotation_deg"":-3.401364,""scale"":1.059989,""translate_x"":0.699369,""translate_y"":4.856071},""instances_pre_transform"":[],""photometric"":{""blur_radius"":0.103146,""brightness"":1.021024,""channel_gain_b"":0.96933,""channel_gain_g"":0.985278,""channel_gain_r"":1.031258,""contrast"":0.913297,""noise_sigma"":1.807395,""saturation"":1.021666},""recipe"":[],""severity"":""none""}"
syn-v1-normal_proxy-0001,synthetic/v1/images/normal_proxy/syn-v1-normal_proxy-0001.jpg,synthetic/v1/masks/normal_proxy/syn-v1-normal_proxy-0001.png,synthetic_restored,train,IMGGEN-CLEAN-BACK-V1,SYNTH-BASE-KIA7809AF-BACK-001,SPEC-A,back,normal_proxy,,none,7809208,952362724,1.1.0,8b2f54d280edcdcf51b05acce605bc5cba56bcf2e9d09ba6f3bef47f0bfaac21,cb5fed83f6415c3bb3f6c26fce8fee402b064f28c0ad1c03b1bdc5dfa8d1ad8a,018dd49600a753daac141d6327d7e0e52d46ad34b667648369a9eee72f5e88d7,65795a5b91030a2a433dae510d1edf494082a9cfa1153cd94f3797759f68f257,512,512,0,0.0000000000,1.0000000000,0.0000000000,0,0,0,0,TRAIN_ONLY_PSEUDO_NORMAL,NO,AUTO_PASS,NO,"{""attempt"":0,""effective_seed"":952362724,""geometry"":{""rotation_deg"":7.216913,""scale"":1.031907,""translate_x"":-5.110215,""translate_y"":-8.40927},""instances_pre_transform"":[],""photometric"":{""blur_radius"":0.853925,""brightness"":1.008321,""channel_gain_b"":0.982322,""channel_gain_g"":0.960034,""channel_gain_r"":1.021956,""contrast"":0.947505,""noise_sigma"":2.663772,""saturation"":1.077683},""recipe"":[],""severity"":""none""}"
syn-v1-normal_proxy-0002,synthetic/v1/images/normal_proxy/syn-v1-normal_proxy-0002.jpg,synthetic/v1/masks/normal_proxy/syn-v1-normal_proxy-0002.png,synthetic_restored,train,IMGGEN-CLEAN-BACK-V1,SYNTH-BASE-KIA7809AF-BACK-001,SPEC-A,back,normal_proxy,,none,7809208,2052966030,1.1.0,8b2f54d280edcdcf51b05acce605bc5cba56bcf2e9d09ba6f3bef47f0bfaac21,cb5fed83f6415c3bb3f6c26fce8fee402b064f28c0ad1c03b1bdc5dfa8d1ad8a,3d0a61e276c1814a793eb9b11e134cf13d1d7fde9cdb121b38067ccce5ed8cb2,65795a5b91030a2a433dae510d1edf494082a9cfa1153cd94f3797759f68f257,512,512,0,0.0000000000,1.0000000000,0.0000000000,0,0,0,0,TRAIN_ONLY_PSEUDO_NORMAL,NO,AUTO_PASS,NO,"{""attempt"":0,""effective_seed"":2052966030,""geometry"":{""rotation_deg"":-1.652853,""scale"":1.015791,""translate_x"":-1.89501,""translate_y"":11.575247},""instances_pre_transform"":[],""photometric"":{""blur_radius"":0.619093,""brightness"":0.98985,""channel_gain_b"":1.016601,""channel_gain_g"":0.968474,""channel_gain_r"":0.998872,""contrast"":0.973975,""noise_sigma"":1.492637,""saturation"":0.981228},""recipe"":[],""severity"":""none""}"
syn-v1-normal_proxy-0003,synthetic/v1/images/normal_proxy/syn-v1-normal_proxy-0003.jpg,synthetic/v1/masks/normal_proxy/syn-v1-normal_proxy-0003.png,synthetic_restored,train,IMGGEN-CLEAN-BACK-V1,SYNTH-BASE-KIA7809AF-BACK-001,SPEC-A,back,normal_proxy,,none,7809208,2103955874,1.1.0,8b2f54d280edcdcf51b05acce605bc5cba56bcf2e9d09ba6f3bef47f0bfaac21,cb5fed83f6415c3bb3f6c26fce8fee402b064f28c0ad1c03b1bdc5dfa8d1ad8a,041b64016d9342b09dbf92978ed20c18918ca50df3ed2dadb4f76c54bba6a6a6,65795a5b91030a2a433dae510d1edf494082a9cfa1153cd94f3797759f68f257,512,512,0,0.0000000000,1.0000000000,0.0000000000,0,0,0,0,TRAIN_ONLY_PSEUDO_NORMAL,NO,AUTO_PASS,NO,"{""attempt"":0,""effective_seed"":2103955874,""geometry"":{""rotation_deg"":2.715621,""scale"":1.036691,""translate_x"":3.972011,""translate_y"":10.33875},""instances_pre_transform"":[],""photometric"":{""blur_radius"":0.23774,""brightness"":0.965925,""channel_gain_b"":1.002391,""channel_gain_g"":0.994063,""channel_gain_r"":0.97714,""contrast"":0.942355,""noise_sigma"":2.549552,""saturation"":1.076065},""recipe"":[],""severity"":""none""}"
syn-v1-normal_proxy-0004,synthetic/v1/images/normal_proxy/syn-v1-normal_proxy-0004.jpg,synthetic/v1/masks/normal_proxy/syn-v1-normal_proxy-0004.png,synthetic_restored,train,IMGGEN-CLEAN-BACK-V1,SYNTH-BASE-KIA7809AF-BACK-001,SPEC-A,back,normal_proxy,,none,7809208,269219200,1.1.0,8b2f54d280edcdcf51b05acce605bc5cba56bcf2e9d09ba6f3bef47f0bfaac21,cb5fed83f6415c3bb3f6c26fce8fee402b064f28c0ad1c03b1bdc5dfa8d1ad8a,807170233e90ad4b366720ecee278a8a40a6f1414d6c2811c4e42b68dbad1d3d,65795a5b91030a2a433dae510d1edf494082a9cfa1153cd94f3797759f68f257,512,512,0,0.0000000000,1.0000000000,0.0000000000,0,0,0,0,TRAIN_ONLY_PSEUDO_NORMAL,NO,AUTO_PASS,NO,"{""attempt"":0,""effective_seed"":269219200,""geometry"":{""rotation_deg"":-6.791715,""scale"":0.949581,""translate_x"":-10.255142,""translate_y"":-5.61736},""instances_pre_transform"":[],""photometric"":{""blur_radius"":0.598211,""brightness"":0.991905,""channel_gain_b"":0.999796,""channel_gain_g"":1.019738,""channel_gain_r"":0.973247,""contrast"":1.096918,""noise_sigma"":1.260856,""saturation"":1.043024},""recipe"":[],""severity"":""none""}"
syn-v1-normal_proxy-0005,synthetic/v1/images/normal_proxy/syn-v1-normal_proxy-0005.jpg,synthetic/v1/masks/normal_proxy/syn-v1-normal_proxy-0005.png,synthetic_restored,train,IMGGEN-CLEAN-BACK-V1,SYNTH-BASE-KIA7809AF-BACK-001,SPEC-A,back,normal_proxy,,none,7809208,1625465523,1.1.0,8b2f54d280edcdcf51b05acce605bc5cba56bcf2e9d09ba6f3bef47f0bfaac21,cb5fed83f6415c3bb3f6c26fce8fee402b064f28c0ad1c03b1bdc5dfa8d1ad8a,9c64bb235e175abf4bf565cfb66693798d2d5c38725c564679feeafe3df331cc,65795a5b91030a2a433dae510d1edf494082a9cfa1153cd94f3797759f68f257,512,512,0,0.0000000000,1.0000000000,0.0000000000,0,0,0,0,TRAIN_ONLY_PSEUDO_NORMAL,NO,AUTO_PASS,NO,"{""attempt"":0,""effective_seed"":1625465523,""geometry"":{""rotation_deg"":-6.943385,""scale"":1.004223,""translate_x"":6.878585,""translate_y"":-8.553601},""instances_pre_transform"":[],""photometric"":{""blur_radius"":0.724727,""brightness"":1.037716,""channel_gain_b"":1.010405,""channel_gain_g"":0.978651,""channel_gain_r"":0.966146,""contrast"":1.067059,""noise_sigma"":2.773756,""saturation"":0.931703},""recipe"":[],""severity"":""none""}"
syn-v1-normal_proxy-0006,synthetic/v1/images/normal_proxy/syn-v1-normal_proxy-0006.jpg,synthetic/v1/masks/normal_proxy/syn-v1-normal_proxy-0006.png,synthetic_restored,train,IMGGEN-CLEAN-BACK-V1,SYNTH-BASE-KIA7809AF-BACK-001,SPEC-A,back,normal_proxy,,none,7809208,647528771,1.1.0,8b2f54d280edcdcf51b05acce605bc5cba56bcf2e9d09ba6f3bef47f0bfaac21,cb5fed83f6415c3bb3f6c26fce8fee402b064f28c0ad1c03b1bdc5dfa8d1ad8a,572e88e220d3836fa145770034e7f16a93f712194efb1768f4404b033758a775,65795a5b91030a2a433dae510d1edf494082a9cfa1153cd94f3797759f68f257,512,512,0,0.0000000000,1.0000000000,0.0000000000,0,0,0,0,TRAIN_ONLY_PSEUDO_NORMAL,NO,AUTO_PASS,NO,"{""attempt"":0,""effective_seed"":647528771,""geometry"":{""rotation_deg"":4.867904,""scale"":0.972901,""translate_x"":-9.63494,""translate_y"":-3.236056},""instances_pre_transform"":[],""photometric"":{""blur_radius"":0.43293,""brightness"":0.98357,""channel_gain_b"":0.972933,""channel_gain_g"":1.003067,""channel_gain_r"":1.013314,""contrast"":1.058031,""noise_sigma"":2.703945,""saturation"":0.984226},""recipe"":[],""severity"":""none""}"
syn-v1-normal_proxy-0007,synthetic/v1/images/normal_proxy/syn-v1-normal_proxy-0007.jpg,synthetic/v1/masks/normal_proxy/syn-v1-normal_proxy-0007.png,synthetic_restored,train,IMGGEN-CLEAN-BACK-V1,SYNTH-BASE-KIA7809AF-BACK-001,SPEC-A,back,normal_proxy,,none,7809208,610153949,1.1.0,8b2f54d280edcdcf51b05acce605bc5cba56bcf2e9d09ba6f3bef47f0bfaac21,cb5fed83f6415c3bb3f6c26fce8fee402b064f28c0ad1c03b1bdc5dfa8d1ad8a,21e82971a628e22ddd1c4ee444b4a583c3c7836c1e139a764d660f91a79d428b,65795a5b91030a2a433dae510d1edf494082a9cfa1153cd94f3797759f68f257,512,512,0,0.0000000000,1.0000000000,0.0000000000,0,0,0,0,TRAIN_ONLY_PSEUDO_NORMAL,NO,AUTO_PASS,NO,"{""attempt"":0,""effective_seed"":610153949,""geometry"":{""rotation_deg"":5.483557,""scale"":1.011305,""translate_x"":0.833396,""translate_y"":0.723599},""instances_pre_transform"":[],""photometric"":{""blur_radius"":0.179619,""brightness"":0.955185,""channel_gain_b"":1.033144,""channel_gain_g"":1.001405,""channel_gain_r"":1.005264,""contrast"":1.017441,""noise_sigma"":2.90247,""saturation"":0.949947},""recipe"":[],""severity"":""none""}"
syn-v1-normal_proxy-0008,synthetic/v1/images/normal_proxy/syn-v1-normal_proxy-0008.jpg,synthetic/v1/masks/normal_proxy/syn-v1-normal_proxy-0008.png,synthetic_restored,train,IMGGEN-CLEAN-BACK-V1,SYNTH-BASE-KIA7809AF-BACK-001,SPEC-A,back,normal_proxy,,none,7809208,1253712670,1.1.0,8b2f54d280edcdcf51b05acce605bc5cba56bcf2e9d09ba6f3bef47f0bfaac21,cb5fed83f6415c3bb3f6c26fce8fee402b064f28c0ad1c03b1bdc5dfa8d1ad8a,4f81660e23664f746734717c585143c5c9f8ab610ae2f94adc613d81b4b0a52c,65795a5b91030a2a433dae510d1edf494082a9cfa1153cd94f3797759f68f257,512,512,0,0.0000000000,1.0000000000,0.0000000000,0,0,0,0,TRAIN_ONLY_PSEUDO_NORMAL,NO,AUTO_PASS,NO,"{""attempt"":0,""effective_seed"":1253712670,""geometry"":{""rotation_deg"":7.833933,""scale"":1.025271,""translate_x"":-3.329755,""translate_y"":5.751608},""instances_pre_transform"":[],""photometric"":{""blur_radius"":0.860035,""brightness"":0.93216,""channel_gain_b"":1.001272,""channel_gain_g"":0.987567,""channel_gain_r"":0.967691,""contrast"":0.932074,""noise_sigma"":0.512304,""saturation"":0.985234},""recipe"":[],""severity"":""none""}"
syn-v1-normal_proxy-0009,synthetic/v1/images/normal_proxy/syn-v1-normal_proxy-0009.jpg,synthetic/v1/masks/normal_proxy/syn-v1-normal_proxy-0009.png,synthetic_restored,train,IMGGEN-CLEAN-BACK-V1,SYNTH-BASE-KIA7809AF-BACK-001,SPEC-A,back,normal_proxy,,none,7809208,1710656814,1.1.0,8b2f54d280edcdcf51b05acce605bc5cba56bcf2e9d09ba6f3bef47f0bfaac21,cb5fed83f6415c3bb3f6c26fce8fee402b064f28c0ad1c03b1bdc5dfa8d1ad8a,2d13e550bb3dc14cfde16a53929641d3a1893ed28b4811b630a9458b1f9378ce,65795a5b91030a2a433dae510d1edf494082a9cfa1153cd94f3797759f68f257,512,512,0,0.0000000000,1.0000000000,0.0000000000,0,0,0,0,TRAIN_ONLY_PSEUDO_NORMAL,NO,AUTO_PASS,NO,"{""attempt"":0,""effective_seed"":1710656814,""geometry"":{""rotation_deg"":6.285446,""scale"":0.994441,""translate_x"":-9.173691,""translate_y"":0.887662},""instances_pre_transform"":[],""photometric"":{""blur_radius"":0.551709,""brightness"":0.970158,""channel_gain_b"":1.031806,""channel_gain_g"":1.021497,""channel_gain_r"":1.032141,""contrast"":0.922294,""noise_sigma"":0.840489,""saturation"":0.93992},""recipe"":[],""severity"":""none""}"
