sample_id,image_path,mask_path,domain,split,base_image_id,base_group_id,source_specimen_group,view,primary_class,visible_multilabel,severity,global_seed,sample_seed,generator_version,config_sha256,base_sha256,image_sha256,mask_sha256,width,height,defect_pixels,mask_area_ratio_image,roi_inside_ratio,pre_transform_mean_abs_delta,bbox_x,bbox_y,bbox_w,bbox_h,training_use,evaluation_eligible,qc_status,human_verified,parameters_json
syn-v1-450-normal_proxy-0000,synthetic/v1_450/images/normal_proxy/syn-v1-450-normal_proxy-0000.jpg,synthetic/v1_450/masks/normal_proxy/syn-v1-450-normal_proxy-0000.png,synthetic_restored,train,IMGGEN-CLEAN-BACK-V1,SYNTH-BASE-KIA7809AF-BACK-001,SPEC-A,back,normal_proxy,,none,7809250,1414781792,1.1.1,7cc6627693f1a190ee26cfdbda90e0c69510377724d9484d14996ca83b755ffc,cb5fed83f6415c3bb3f6c26fce8fee402b064f28c0ad1c03b1bdc5dfa8d1ad8a,ddd42e7c8ce1eeec5a84e9b469141eaa456cc10f4eba6a1629c92883e298eb10,65795a5b91030a2a433dae510d1edf494082a9cfa1153cd94f3797759f68f257,512,512,0,0.0000000000,1.0000000000,0.0000000000,0,0,0,0,TRAIN_ONLY_PSEUDO_NORMAL,NO,AUTO_PASS,NO,"{""attempt"":0,""effective_seed"":1414781792,""geometry"":{""rotation_deg"":-6.358734,""scale"":0.992962,""translate_x"":-1.778706,""translate_y"":3.899945},""instances_pre_transform"":[],""photometric"":{""blur_radius"":0.201994,""brightness"":1.0435,""channel_gain_b"":0.982221,""channel_gain_g"":1.005335,""channel_gain_r"":0.966081,""contrast"":1.055124,""noise_sigma"":1.751882,""saturation"":1.043374},""recipe"":[],""severity"":""none""}"
syn-v1-450-normal_proxy-0001,synthetic/v1_450/images/normal_proxy/syn-v1-450-normal_proxy-0001.jpg,synthetic/v1_450/masks/normal_proxy/syn-v1-450-normal_proxy-0001.png,synthetic_restored,train,IMGGEN-CLEAN-BACK-V1,SYNTH-BASE-KIA7809AF-BACK-001,SPEC-A,back,normal_proxy,,none,7809250,1973733544,1.1.1,7cc6627693f1a190ee26cfdbda90e0c69510377724d9484d14996ca83b755ffc,cb5fed83f6415c3bb3f6c26fce8fee402b064f28c0ad1c03b1bdc5dfa8d1ad8a,6e90b1a97298aef58247e58350dbdb928a66d61e321f97eff95a63542615eacf,65795a5b91030a2a433dae510d1edf494082a9cfa1153cd94f3797759f68f257,512,512,0,0.0000000000,1.0000000000,0.0000000000,0,0,0,0,TRAIN_ONLY_PSEUDO_NORMAL,NO,AUTO_PASS,NO,"{""attempt"":0,""effective_seed"":1973733544,""geometry"":{""rotation_deg"":4.818567,""scale"":1.022026,""translate_x"":-11.895155,""translate_y"":-1.828143},""instances_pre_transform"":[],""photometric"":{""blur_radius"":0.710458,""brightness"":0.999122,""channel_gain_b"":0.992849,""channel_gain_g"":0.971468,""channel_gain_r"":0.969594,""contrast"":0.928921,""noise_sigma"":2.240594,""saturation"":0.924299},""recipe"":[],""severity"":""none""}"
syn-v1-450-normal_proxy-0002,synthetic/v1_450/images/normal_proxy/syn-v1-450-normal_proxy-0002.jpg,synthetic/v1_450/masks/normal_proxy/syn-v1-450-normal_proxy-0002.png,synthetic_restored,train,IMGGEN-CLEAN-BACK-V1,SYNTH-BASE-KIA7809AF-BACK-001,SPEC-A,back,normal_proxy,,none,7809250,1221724008,1.1.1,7cc6627693f1a190ee26cfdbda90e0c69510377724d9484d14996ca83b755ffc,cb5fed83f6415c3bb3f6c26fce8fee402b064f28c0ad1c03b1bdc5dfa8d1ad8a,e24987768b6874951746df082ea29b88fb1eb4e6c65bf3c4a7e47f08c5efb951,65795a5b91030a2a433dae510d1edf494082a9cfa1153cd94f3797759f68f257,512,512,0,0.0000000000,1.0000000000,0.0000000000,0,0,0,0,TRAIN_ONLY_PSEUDO_NORMAL,NO,AUTO_PASS,NO,"{""attempt"":0,""effective_seed"":1221724008,""geometry"":{""rotation_deg"":3.431416,""scale"":0.95707,""translate_x"":6.189585,""translate_y"":7.112663},""instances_pre_transform"":[],""photometric"":{""blur_radius"":0.249652,""brightness"":1.019253,""channel_gain_b"":1.002104,""channel_gain_g"":1.03824,""channel_gain_r"":1.016056,""contrast"":0.957243,""noise_sigma"":2.462327,""saturation"":0.988221},""recipe"":[],""severity"":""none""}"
syn-v1-450-normal_proxy-0003,synthetic/v1_450/images/normal_proxy/syn-v1-450-normal_proxy-0003.jpg,synthetic/v1_450/masks/normal_proxy/syn-v1-450-normal_proxy-0003.png,synthetic_restored,train,IMGGEN-CLEAN-BACK-V1,SYNTH-BASE-KIA7809AF-BACK-001,SPEC-A,back,normal_proxy,,none,7809250,321887820,1.1.1,7cc6627693f1a190ee26cfdbda90e0c69510377724d9484d14996ca83b755ffc,cb5fed83f6415c3bb3f6c26fce8fee402b064f28c0ad1c03b1bdc5dfa8d1ad8a,58ef3ffe1e749adf3b3442751f3ae1be6f201dab17a2b185a284ecf38c1e64d3,65795a5b91030a2a433dae510d1edf494082a9cfa1153cd94f3797759f68f257,512,512,0,0.0000000000,1.0000000000,0.0000000000,0,0,0,0,TRAIN_ONLY_PSEUDO_NORMAL,NO,AUTO_PASS,NO,"{""attempt"":0,""effective_seed"":321887820,""geometry"":{""rotation_deg"":-1.090676,""scale"":1.044917,""translate_x"":-10.42408,""translate_y"":-11.891775},""instances_pre_transform"":[],""photometric"":{""blur_radius"":0.670108,""brightness"":0.931654,""channel_gain_b"":1.004837,""channel_gain_g"":0.974849,""channel_gain_r"":1.002292,""contrast"":0.946782,""noise_sigma"":0.208028,""saturation"":1.040426},""recipe"":[],""severity"":""none""}"
syn-v1-450-normal_proxy-0004,synthetic/v1_450/images/normal_proxy/syn-v1-450-normal_proxy-0004.jpg,synthetic/v1_450/masks/normal_proxy/syn-v1-450-normal_proxy-0004.png,synthetic_restored,train,IMGGEN-CLEAN-BACK-V1,SYNTH-BASE-KIA7809AF-BACK-001,SPEC-A,back,normal_proxy,,none,7809250,1213346821,1.1.1,7cc6627693f1a190ee26cfdbda90e0c69510377724d9484d14996ca83b755ffc,cb5fed83f6415c3bb3f6c26fce8fee402b064f28c0ad1c03b1bdc5dfa8d1ad8a,75291c65948ec663898b23f4f005852b67254f8da7dd4ca933060fe6341e47be,65795a5b91030a2a433dae510d1edf494082a9cfa1153cd94f3797759f68f257,512,512,0,0.0000000000,1.0000000000,0.0000000000,0,0,0,0,TRAIN_ONLY_PSEUDO_NORMAL,NO,AUTO_PASS,NO,"{""attempt"":0,""effective_seed"":1213346821,""geometry"":{""rotation_deg"":2.598853,""scale"":0.968177,""translate_x"":-2.721388,""translate_y"":-10.211925},""instances_pre_transform"":[],""photometric"":{""blur_radius"":0.464407,""brightness"":1.044861,""channel_gain_b"":0.995804,""channel_gain_g"":0.968148,""channel_gain_r"":1.033783,""contrast"":0.951054,""noise_sigma"":2.8955,""saturation"":1.056821},""recipe"":[],""severity"":""none""}"
syn-v1-450-normal_proxy-0005,synthetic/v1_450/images/normal_proxy/syn-v1-450-normal_proxy-0005.jpg,synthetic/v1_450/masks/normal_proxy/syn-v1-450-normal_proxy-0005.png,synthetic_restored,train,IMGGEN-CLEAN-BACK-V1,SYNTH-BASE-KIA7809AF-BACK-001,SPEC-A,back,normal_proxy,,none,7809250,81215232,1.1.1,7cc6627693f1a190ee26cfdbda90e0c69510377724d9484d14996ca83b755ffc,cb5fed83f6415c3bb3f6c26fce8fee402b064f28c0ad1c03b1bdc5dfa8d1ad8a,545e644e613548b165be4cab8315962c20db8490a8c6001164be94ceec7b8cbd,65795a5b91030a2a433dae510d1edf494082a9cfa1153cd94f3797759f68f257,512,512,0,0.0000000000,1.0000000000,0.0000000000,0,0,0,0,TRAIN_ONLY_PSEUDO_NORMAL,NO,AUTO_PASS,NO,"{""attempt"":0,""effective_seed"":81215232,""geometry"":{""rotation_deg"":4.478596,""scale"":1.031078,""translate_x"":4.092905,""translate_y"":-3.485625},""instances_pre_transform"":[],""photometric"":{""blur_radius"":0.336401,""brightness"":1.056461,""channel_gain_b"":0.977449,""channel_gain_g"":0.971724,""channel_gain_r"":0.991801,""contrast"":1.039845,""noise_sigma"":1.930168,""saturation"":1.06804},""recipe"":[],""severity"":""none""}"
syn-v1-450-normal_proxy-0006,synthetic/v1_450/images/normal_proxy/syn-v1-450-normal_proxy-0006.jpg,synthetic/v1_450/masks/normal_proxy/syn-v1-450-normal_proxy-0006.png,synthetic_restored,train,IMGGEN-CLEAN-BACK-V1,SYNTH-BASE-KIA7809AF-BACK-001,SPEC-A,back,normal_proxy,,none,7809250,2029944549,1.1.1,7cc6627693f1a190ee26cfdbda90e0c69510377724d9484d14996ca83b755ffc,cb5fed83f6415c3bb3f6c26fce8fee402b064f28c0ad1c03b1bdc5dfa8d1ad8a,71ce5f8c0abaa72795a519e24fdff532f0135a1aca425e16e1742530863943cd,65795a5b91030a2a433dae510d1edf494082a9cfa1153cd94f3797759f68f257,512,512,0,0.0000000000,1.0000000000,0.0000000000,0,0,0,0,TRAIN_ONLY_PSEUDO_NORMAL,NO,AUTO_PASS,NO,"{""attempt"":0,""effective_seed"":2029944549,""geometry"":{""rotation_deg"":-3.770353,""scale"":0.927091,""translate_x"":-9.592087,""translate_y"":-8.222117},""instances_pre_transform"":[],""photometric"":{""blur_radius"":0.315204,""brightness"":1.02369,""channel_gain_b"":1.039249,""channel_gain_g"":0.970131,""channel_gain_r"":1.026333,""contrast"":1.037619,""noise_sigma"":1.299157,""saturation"":0.949235},""recipe"":[],""severity"":""none""}"
syn-v1-450-normal_proxy-0007,synthetic/v1_450/images/normal_proxy/syn-v1-450-normal_proxy-0007.jpg,synthetic/v1_450/masks/normal_proxy/syn-v1-450-normal_proxy-0007.png,synthetic_restored,train,IMGGEN-CLEAN-BACK-V1,SYNTH-BASE-KIA7809AF-BACK-001,SPEC-A,back,normal_proxy,,none,7809250,2133909781,1.1.1,7cc6627693f1a190ee26cfdbda90e0c69510377724d9484d14996ca83b755ffc,cb5fed83f6415c3bb3f6c26fce8fee402b064f28c0ad1c03b1bdc5dfa8d1ad8a,56750b1c62d1c933455b889e75762a739ce871174a683425417414b09dbdc04c,65795a5b91030a2a433dae510d1edf494082a9cfa1153cd94f3797759f68f257,512,512,0,0.0000000000,1.0000000000,0.0000000000,0,0,0,0,TRAIN_ONLY_PSEUDO_NORMAL,NO,AUTO_PASS,NO,"{""attempt"":0,""effective_seed"":2133909781,""geometry"":{""rotation_deg"":-3.162839,""scale"":0.928007,""translate_x"":5.462419,""translate_y"":10.74969},""instances_pre_transform"":[],""photometric"":{""blur_radius"":0.118635,""brightness"":1.030331,""channel_gain_b"":0.98001,""channel_gain_g"":1.025411,""channel_gain_r"":1.015056,""contrast"":1.044,""noise_sigma"":0.114757,""saturation"":0.976397},""recipe"":[],""severity"":""none""}"
syn-v1-450-normal_proxy-0008,synthetic/v1_450/images/normal_proxy/syn-v1-450-normal_proxy-0008.jpg,synthetic/v1_450/masks/normal_proxy/syn-v1-450-normal_proxy-0008.png,synthetic_restored,train,IMGGEN-CLEAN-BACK-V1,SYNTH-BASE-KIA7809AF-BACK-001,SPEC-A,back,normal_proxy,,none,7809250,1492616829,1.1.1,7cc6627693f1a190ee26cfdbda90e0c69510377724d9484d14996ca83b755ffc,cb5fed83f6415c3bb3f6c26fce8fee402b064f28c0ad1c03b1bdc5dfa8d1ad8a,d7af2861f0b6436b0a590eebf3216b5933dd0ede0a00a98fdc2a11201785bf47,65795a5b91030a2a433dae510d1edf494082a9cfa1153cd94f3797759f68f257,512,512,0,0.0000000000,1.0000000000,0.0000000000,0,0,0,0,TRAIN_ONLY_PSEUDO_NORMAL,NO,AUTO_PASS,NO,"{""attempt"":0,""effective_seed"":1492616829,""geometry"":{""rotation_deg"":7.722526,""scale"":1.079595,""translate_x"":-8.977894,""translate_y"":2.685593},""instances_pre_transform"":[],""photometric"":{""blur_radius"":0.273815,""brightness"":1.038924,""channel_gain_b"":1.039048,""channel_gain_g"":0.969274,""channel_gain_r"":0.983849,""contrast"":0.989506,""noise_sigma"":1.1992,""saturation"":0.964414},""recipe"":[],""severity"":""none""}"
syn-v1-450-normal_proxy-0009,synthetic/v1_450/images/normal_proxy/syn-v1-450-normal_proxy-0009.jpg,synthetic/v1_450/masks/normal_proxy/syn-v1-450-normal_proxy-0009.png,synthetic_restored,train,IMGGEN-CLEAN-BACK-V1,SYNTH-BASE-KIA7809AF-BACK-001,SPEC-A,back,normal_proxy,,none,7809250,1090034860,1.1.1,7cc6627693f1a190ee26cfdbda90e0c69510377724d9484d14996ca83b755ffc,cb5fed83f6415c3bb3f6c26fce8fee402b064f28c0ad1c03b1bdc5dfa8d1ad8a,ca8923f85cb1fd05db757406d62a91ada04fa3b13d1b253bed23512cbbf5e125,65795a5b91030a2a433dae510d1edf494082a9cfa1153cd94f3797759f68f257,512,512,0,0.0000000000,1.0000000000,0.0000000000,0,0,0,0,TRAIN_ONLY_PSEUDO_NORMAL,NO,AUTO_PASS,NO,"{""attempt"":0,""effective_seed"":1090034860,""geometry"":{""rotation_deg"":5.499922,""scale"":1.02949,""translate_x"":10.129412,""translate_y"":-4.127429},""instances_pre_transform"":[],""photometric"":{""blur_radius"":0.502657,""brightness"":1.06627,""channel_gain_b"":0.977789,""channel_gain_g"":1.005695,""channel_gain_r"":0.994473,""contrast"":0.909511,""noise_sigma"":2.297242,""saturation"":1.066111},""recipe"":[],""severity"":""none""}"
