sample_id,image_path,mask_path,domain,split,base_image_id,base_group_id,source_specimen_group,view,primary_class,visible_multilabel,severity,global_seed,sample_seed,generator_version,qc_gate_version,config_sha256,base_sha256,image_sha256,mask_sha256,width,height,defect_pixels,mask_area_ratio_image,roi_inside_ratio,pre_transform_mean_abs_delta,bbox_x,bbox_y,bbox_w,bbox_h,qc_512_area,qc_512_mean_abs_delta,qc_512_delta_e76_p50,qc_512_changed_fraction,qc_224_area,qc_224_mean_abs_delta,qc_224_delta_e76_p50,qc_224_changed_fraction,training_use,evaluation_eligible,qc_status,human_verified,qc_metrics_json,parameters_json
syn-v2-700-scratch-0000,synthetic/v2_700/images/scratch/syn-v2-700-scratch-0000.jpg,synthetic/v2_700/masks/scratch/syn-v2-700-scratch-0000.png,synthetic_restored,train,IMGGEN-CLEAN-BACK-V1,SYNTH-BASE-KIA7809AF-BACK-001,SPEC-A,back,scratch,scratch,mild,18103170,268032003,2.0.0,dual-resolution-post-jpeg-v1,fdcbf940176700536c05a5f2e7aa1f3420334372adeb3f7969fb932b7ebfa6ee,cb5fed83f6415c3bb3f6c26fce8fee402b064f28c0ad1c03b1bdc5dfa8d1ad8a,72dafbf5a1a33ff36c43a6c09197c5ddee245db0fe7be1b4d424d852a606bd0c,3e91559bd12ec4c3bfb2a2cb4aa23adcb9f7f033d0739ee9516a5ad18724a7ca,512,512,384,0.0014648438,1.0000000000,72.6341247559,180,163,52,66,384,68.558159,31.929913,0.945312,72,61.824078,25.763973,1.000000,TRAIN_ONLY_SYNTHETIC_NG,NO,AUTO_PASS_POST_JPEG_512_224,NO,"{""224"":{""area"":72,""bbox_h"":29,""bbox_w"":23,""changed_fraction"":1.0,""delta_e76_p50"":25.763973,""diag"":37.013511,""major"":29,""mean_abs_delta"":61.824078,""minor"":23},""512"":{""area"":384,""bbox_h"":66,""bbox_w"":52,""changed_fraction"":0.945312,""delta_e76_p50"":31.929913,""diag"":84.023806,""major"":66,""mean_abs_delta"":68.558159,""minor"":52}}","{""attempt"":0,""effective_seed"":268032003,""geometry"":{""rotation_deg"":2.932651740797386,""scale"":0.9531650728305588,""translate_x"":6.481613171458164,""translate_y"":-9.798869469804686},""instance_pre_transform"":{""color_rgb"":[31,33,33],""count"":1,""length_px"":[83.487],""opacity"":0.7469,""recipe_subtype"":""high_visibility_curved_scratch"",""surface"":""metal_tab"",""width_px"":[3.471]},""photometric"":{""blur_radius"":0.13406228599908918,""brightness"":0.9787095744858746,""channel_gain_b"":0.9803678955615914,""channel_gain_g"":0.9700329514289598,""channel_gain_r"":0.9995944638762788,""contrast"":0.980185871876672,""noise_seed"":158865723,""noise_sigma"":1.4784024247324379,""saturation"":0.9544324855021253},""recipe"":[""scratch""],""severity"":""mild""}"
syn-v2-700-scratch-0001,synthetic/v2_700/images/scratch/syn-v2-700-scratch-0001.jpg,synthetic/v2_700/masks/scratch/syn-v2-700-scratch-0001.png,synthetic_restored,train,IMGGEN-CLEAN-BACK-V1,SYNTH-BASE-KIA7809AF-BACK-001,SPEC-A,back,scratch,scratch,mild,18103170,1197722231,2.0.0,dual-resolution-post-jpeg-v1,fdcbf940176700536c05a5f2e7aa1f3420334372adeb3f7969fb932b7ebfa6ee,cb5fed83f6415c3bb3f6c26fce8fee402b064f28c0ad1c03b1bdc5dfa8d1ad8a,fc66cd83322e0cd42077d421be46d73c4483a7b7f1ce7a90d272702741799e65,a7885734a85b79367619b8185cd89751288f2fc326a70091a7c8a1308417d46f,512,512,453,0.0017280579,1.0000000000,79.3744049072,147,155,99,23,453,79.615891,35.630539,0.966887,90,70.240746,27.825012,1.000000,TRAIN_ONLY_SYNTHETIC_NG,NO,AUTO_PASS_POST_JPEG_512_224,NO,"{""224"":{""area"":90,""bbox_h"":10,""bbox_w"":44,""changed_fraction"":1.0,""delta_e76_p50"":27.825012,""diag"":45.122057,""major"":44,""mean_abs_delta"":70.240746,""minor"":10},""512"":{""area"":453,""bbox_h"":23,""bbox_w"":99,""changed_fraction"":0.966887,""delta_e76_p50"":35.630539,""diag"":101.636608,""major"":99,""mean_abs_delta"":79.615891,""minor"":23}}","{""attempt"":0,""effective_seed"":1197722231,""geometry"":{""rotation_deg"":5.213419310298246,""scale"":1.0434991179080009,""translate_x"":4.7567892052225424,""translate_y"":8.031490837506894},""instance_pre_transform"":{""color_rgb"":[36,32,31],""count"":1,""length_px"":[95.425],""opacity"":0.8222,""recipe_subtype"":""high_visibility_curved_scratch"",""surface"":""metal_tab"",""width_px"":[3.273]},""photometric"":{""blur_radius"":0.3854784381117153,""brightness"":0.9462544563102165,""channel_gain_b"":1.0033155929700661,""channel_gain_g"":1.0224566035314906,""channel_gain_r"":0.9873123706704251,""contrast"":1.073295816848021,""noise_seed"":3634141317,""noise_sigma"":0.00765422413056438,""saturation"":0.9449031003587137},""recipe"":[""scratch""],""severity"":""mild""}"
syn-v2-700-scratch-0002,synthetic/v2_700/images/scratch/syn-v2-700-scratch-0002.jpg,synthetic/v2_700/masks/scratch/syn-v2-700-scratch-0002.png,synthetic_restored,train,IMGGEN-CLEAN-BACK-V1,SYNTH-BASE-KIA7809AF-BACK-001,SPEC-A,back,scratch,scratch,mild,18103170,1398638791,2.0.0,dual-resolution-post-jpeg-v1,fdcbf940176700536c05a5f2e7aa1f3420334372adeb3f7969fb932b7ebfa6ee,cb5fed83f6415c3bb3f6c26fce8fee402b064f28c0ad1c03b1bdc5dfa8d1ad8a,2fc81904b1bd52b00351ec314a6084fb97145d57e9cbd9fcbab2e033370d0f14,1ebe51f52a661db5a68cd699be500f0a665e793c644c126eddf0b8300e057466,512,512,245,0.0009346008,1.0000000000,82.2273330688,211,127,77,58,245,79.526527,36.152210,0.963265,50,66.226669,25.620426,1.000000,TRAIN_ONLY_SYNTHETIC_NG,NO,AUTO_PASS_POST_JPEG_512_224,NO,"{""224"":{""area"":50,""bbox_h"":25,""bbox_w"":34,""changed_fraction"":1.0,""delta_e76_p50"":25.620426,""diag"":42.201896,""major"":34,""mean_abs_delta"":66.226669,""minor"":25},""512"":{""area"":245,""bbox_h"":58,""bbox_w"":77,""changed_fraction"":0.963265,""delta_e76_p50"":36.15221,""diag"":96.400207,""major"":77,""mean_abs_delta"":79.526527,""minor"":58}}","{""attempt"":0,""effective_seed"":1398638791,""geometry"":{""rotation_deg"":1.4380825937240456,""scale"":0.9626951247585123,""translate_x"":7.988908364258549,""translate_y"":-4.283423241058828},""instance_pre_transform"":{""color_rgb"":[34,31,26],""count"":1,""length_px"":[95.692],""opacity"":0.7532,""recipe_subtype"":""high_visibility_curved_scratch"",""surface"":""metal_tab"",""width_px"":[3.241]},""photometric"":{""blur_radius"":0.2018402289673549,""brightness"":1.0147290543459966,""channel_gain_b"":0.988511709835995,""channel_gain_g"":0.9702790229646436,""channel_gain_r"":0.9835209064739634,""contrast"":0.9906239880868797,""noise_seed"":1494488855,""noise_sigma"":0.6859613668428504,""saturation"":0.9911186668901232},""recipe"":[""scratch""],""severity"":""mild""}"
syn-v2-700-scratch-0003,synthetic/v2_700/images/scratch/syn-v2-700-scratch-0003.jpg,synthetic/v2_700/masks/scratch/syn-v2-700-scratch-0003.png,synthetic_restored,train,IMGGEN-CLEAN-BACK-V1,SYNTH-BASE-KIA7809AF-BACK-001,SPEC-A,back,scratch,scratch,severe,18103170,327932940,2.0.0,dual-resolution-post-jpeg-v1,fdcbf940176700536c05a5f2e7aa1f3420334372adeb3f7969fb932b7ebfa6ee,cb5fed83f6415c3bb3f6c26fce8fee402b064f28c0ad1c03b1bdc5dfa8d1ad8a,edcf54391e5ed0ef8fdc2a88db4a41e6f8690291a434abcb4a34504440a59a19,aa5209cbc27a14ca8b8d790b9062f5745037fdc221421c4b95dd7336fde22f01,512,512,1632,0.0062255859,1.0000000000,101.9152450562,202,105,92,121,1632,94.686272,45.405674,0.984069,314,85.704880,38.768539,1.000000,TRAIN_ONLY_SYNTHETIC_NG,NO,AUTO_PASS_POST_JPEG_512_224,NO,"{""224"":{""area"":314,""bbox_h"":53,""bbox_w"":41,""changed_fraction"":1.0,""delta_e76_p50"":38.768539,""diag"":67.007462,""major"":53,""mean_abs_delta"":85.70488,""minor"":41},""512"":{""area"":1632,""bbox_h"":121,""bbox_w"":92,""changed_fraction"":0.984069,""delta_e76_p50"":45.405674,""diag"":152.003289,""major"":121,""mean_abs_delta"":94.686272,""minor"":92}}","{""attempt"":0,""effective_seed"":327932940,""geometry"":{""rotation_deg"":7.697299913563054,""scale"":0.9469978398885348,""translate_x"":-8.943623294636911,""translate_y"":10.250308548854825},""instance_pre_transform"":{""color_rgb"":[35,30,37],""count"":3,""length_px"":[123.628,130.419,121.606],""opacity"":0.8548,""recipe_subtype"":""high_visibility_curved_scratch"",""surface"":""metal_tab"",""width_px"":[6.034,5.221,5.808]},""photometric"":{""blur_radius"":0.15895910930921142,""brightness"":0.961090758096243,""channel_gain_b"":0.98251195742872,""channel_gain_g"":0.9850757919147628,""channel_gain_r"":1.0223542220826907,""contrast"":0.9788788597976108,""noise_seed"":242848643,""noise_sigma"":0.5400764773968103,""saturation"":0.9628026233894492},""recipe"":[""scratch""],""severity"":""severe""}"
syn-v2-700-scratch-0004,synthetic/v2_700/images/scratch/syn-v2-700-scratch-0004.jpg,synthetic/v2_700/masks/scratch/syn-v2-700-scratch-0004.png,synthetic_restored,train,IMGGEN-CLEAN-BACK-V1,SYNTH-BASE-KIA7809AF-BACK-001,SPEC-A,back,scratch,scratch,moderate,18103170,283668010,2.0.0,dual-resolution-post-jpeg-v1,fdcbf940176700536c05a5f2e7aa1f3420334372adeb3f7969fb932b7ebfa6ee,cb5fed83f6415c3bb3f6c26fce8fee402b064f28c0ad1c03b1bdc5dfa8d1ad8a,f8ab5fdf6844558479fb881a2d4575e94b56962b0db5538c8fb84317b2c90bc1,448fe129e8ce6f46b64f461f9f17265e450b110c331faa299dcdb656b177a2f3,512,512,830,0.0031661987,1.0000000000,89.7902603149,179,118,87,114,830,97.942169,45.687218,0.980723,156,87.811958,36.091557,1.000000,TRAIN_ONLY_SYNTHETIC_NG,NO,AUTO_PASS_POST_JPEG_512_224,NO,"{""224"":{""area"":156,""bbox_h"":50,""bbox_w"":38,""changed_fraction"":1.0,""delta_e76_p50"":36.091557,""diag"":62.801274,""major"":50,""mean_abs_delta"":87.811958,""minor"":38},""512"":{""area"":830,""bbox_h"":114,""bbox_w"":87,""changed_fraction"":0.980723,""delta_e76_p50"":45.687218,""diag"":143.405021,""major"":114,""mean_abs_delta"":97.942169,""minor"":87}}","{""attempt"":0,""effective_seed"":283668010,""geometry"":{""rotation_deg"":5.212735298371701,""scale"":1.0355789781564255,""translate_x"":3.440007732985066,""translate_y"":-2.6475405645748147},""instance_pre_transform"":{""color_rgb"":[30,38,29],""count"":2,""length_px"":[100.623,82.024],""opacity"":0.8175,""recipe_subtype"":""high_visibility_curved_scratch"",""surface"":""metal_tab"",""width_px"":[3.589,4.447]},""photometric"":{""blur_radius"":0.1723099483429818,""brightness"":1.0009027864407984,""channel_gain_b"":0.996701910919419,""channel_gain_g"":0.9993801334807784,""channel_gain_r"":0.9945003564159178,""contrast"":1.0643499682182533,""noise_seed"":1754311928,""noise_sigma"":1.4151443024296582,""saturation"":1.0475653743416968},""recipe"":[""scratch""],""severity"":""moderate""}"
syn-v2-700-scratch-0005,synthetic/v2_700/images/scratch/syn-v2-700-scratch-0005.jpg,synthetic/v2_700/masks/scratch/syn-v2-700-scratch-0005.png,synthetic_restored,train,IMGGEN-CLEAN-BACK-V1,SYNTH-BASE-KIA7809AF-BACK-001,SPEC-A,back,scratch,scratch,moderate,18103170,314711801,2.0.0,dual-resolution-post-jpeg-v1,fdcbf940176700536c05a5f2e7aa1f3420334372adeb3f7969fb932b7ebfa6ee,cb5fed83f6415c3bb3f6c26fce8fee402b064f28c0ad1c03b1bdc5dfa8d1ad8a,62f39f51749b7a0a15d75757b57897317525e28f353eeed69f4c1e2687db7c02,e4235408c47c1cad073a652c6b2ab8653f891e36587e18b6d022f66756aecae6,512,512,1218,0.0046463013,1.0000000000,92.7528228760,209,84,112,140,1218,93.169403,42.573360,0.981938,232,86.091949,36.438789,1.000000,TRAIN_ONLY_SYNTHETIC_NG,NO,AUTO_PASS_POST_JPEG_512_224,NO,"{""224"":{""area"":232,""bbox_h"":61,""bbox_w"":49,""changed_fraction"":1.0,""delta_e76_p50"":36.438789,""diag"":78.243211,""major"":61,""mean_abs_delta"":86.091949,""minor"":49},""512"":{""area"":1218,""bbox_h"":140,""bbox_w"":112,""changed_fraction"":0.981938,""delta_e76_p50"":42.57336,""diag"":179.287479,""major"":140,""mean_abs_delta"":93.169403,""minor"":112}}","{""attempt"":0,""effective_seed"":314711801,""geometry"":{""rotation_deg"":-4.792255150350069,""scale"":1.0192941537071132,""translate_x"":-9.818388787358728,""translate_y"":10.170952922718495},""instance_pre_transform"":{""color_rgb"":[32,34,34],""count"":2,""length_px"":[107.079,112.272],""opacity"":0.865,""recipe_subtype"":""high_visibility_curved_scratch"",""surface"":""metal_tab"",""width_px"":[4.049,4.271]},""photometric"":{""blur_radius"":0.548304614017886,""brightness"":1.0090977955175409,""channel_gain_b"":0.9792625109225777,""channel_gain_g"":1.02066940879793,""channel_gain_r"":1.0174094126053177,""contrast"":1.0277002234318608,""noise_seed"":3732241764,""noise_sigma"":1.5805378805929493,""saturation"":1.0124625415918165},""recipe"":[""scratch""],""severity"":""moderate""}"
syn-v2-700-scratch-0006,synthetic/v2_700/images/scratch/syn-v2-700-scratch-0006.jpg,synthetic/v2_700/masks/scratch/syn-v2-700-scratch-0006.png,synthetic_restored,train,IMGGEN-CLEAN-BACK-V1,SYNTH-BASE-KIA7809AF-BACK-001,SPEC-A,back,scratch,scratch,severe,18103170,186989000,2.0.0,dual-resolution-post-jpeg-v1,fdcbf940176700536c05a5f2e7aa1f3420334372adeb3f7969fb932b7ebfa6ee,cb5fed83f6415c3bb3f6c26fce8fee402b064f28c0ad1c03b1bdc5dfa8d1ad8a,ee311f8901662de5d8b96b664ae8ddbf81e153cf560d58976ace8334f180ba56,7da46cf6a9f374c0372714826aca9fd22b72b9d2cd2b98955bb8858da1c14b0b,512,512,2498,0.0095291138,1.0000000000,104.4885406494,175,122,125,124,2498,105.561386,50.019123,0.984388,477,99.215935,43.914078,1.000000,TRAIN_ONLY_SYNTHETIC_NG,NO,AUTO_PASS_POST_JPEG_512_224,NO,"{""224"":{""area"":477,""bbox_h"":54,""bbox_w"":54,""changed_fraction"":1.0,""delta_e76_p50"":43.914078,""diag"":76.367532,""major"":54,""mean_abs_delta"":99.215935,""minor"":54},""512"":{""area"":2498,""bbox_h"":124,""bbox_w"":125,""changed_fraction"":0.984388,""delta_e76_p50"":50.019123,""diag"":176.071008,""major"":125,""mean_abs_delta"":105.561386,""minor"":124}}","{""attempt"":0,""effective_seed"":186989000,""geometry"":{""rotation_deg"":0.9529121074171556,""scale"":0.9454340705808604,""translate_x"":-2.8533363149569553,""translate_y"":-11.898473862775894},""instance_pre_transform"":{""color_rgb"":[32,32,30],""count"":3,""length_px"":[115.412,126.02,159.201],""opacity"":0.8455,""recipe_subtype"":""high_visibility_curved_scratch"",""surface"":""metal_tab"",""width_px"":[6.773,5.663,6.159]},""photometric"":{""blur_radius"":0.27506931954035957,""brightness"":0.9591699681316684,""channel_gain_b"":1.0047357285243044,""channel_gain_g"":1.0025802506862014,""channel_gain_r"":1.0141849483125207,""contrast"":1.049714985096247,""noise_seed"":3071608275,""noise_sigma"":0.49880979877951415,""saturation"":0.9746988466691904},""recipe"":[""scratch""],""severity"":""severe""}"
syn-v2-700-scratch-0007,synthetic/v2_700/images/scratch/syn-v2-700-scratch-0007.jpg,synthetic/v2_700/masks/scratch/syn-v2-700-scratch-0007.png,synthetic_restored,train,IMGGEN-CLEAN-BACK-V1,SYNTH-BASE-KIA7809AF-BACK-001,SPEC-A,back,scratch,scratch,mild,18103170,1016988266,2.0.0,dual-resolution-post-jpeg-v1,fdcbf940176700536c05a5f2e7aa1f3420334372adeb3f7969fb932b7ebfa6ee,cb5fed83f6415c3bb3f6c26fce8fee402b064f28c0ad1c03b1bdc5dfa8d1ad8a,4f7a4f81f64499e9c2877c43896aa7c235f764f571c7c2f76736c4c6eb0ff232,157c7db4139b12076d7f1d5ced0b068637d8f2d6b523446174e9aa63476b3615,512,512,469,0.0017890930,1.0000000000,86.3674240112,166,130,66,72,469,90.751945,42.260769,0.968017,92,81.742752,30.939360,1.000000,TRAIN_ONLY_SYNTHETIC_NG,NO,AUTO_PASS_POST_JPEG_512_224,NO,"{""224"":{""area"":92,""bbox_h"":31,""bbox_w"":29,""changed_fraction"":1.0,""delta_e76_p50"":30.93936,""diag"":42.449971,""major"":31,""mean_abs_delta"":81.742752,""minor"":29},""512"":{""area"":469,""bbox_h"":72,""bbox_w"":66,""changed_fraction"":0.968017,""delta_e76_p50"":42.260769,""diag"":97.672924,""major"":72,""mean_abs_delta"":90.751945,""minor"":66}}","{""attempt"":0,""effective_seed"":1016988266,""geometry"":{""rotation_deg"":-5.5497508847191686,""scale"":1.0268818326124318,""translate_x"":6.736452350288506,""translate_y"":-7.693498210154368},""instance_pre_transform"":{""color_rgb"":[39,37,30],""count"":1,""length_px"":[89.939],""opacity"":0.8522,""recipe_subtype"":""high_visibility_curved_scratch"",""surface"":""metal_tab"",""width_px"":[3.621]},""photometric"":{""blur_radius"":0.29293811267280795,""brightness"":1.0084795902169856,""channel_gain_b"":1.0075456814537644,""channel_gain_g"":0.9901393684069646,""channel_gain_r"":0.9718551413846583,""contrast"":1.0692388775539425,""noise_seed"":3395266466,""noise_sigma"":1.6624514082097335,""saturation"":0.9604458470126958},""recipe"":[""scratch""],""severity"":""mild""}"
syn-v2-700-scratch-0008,synthetic/v2_700/images/scratch/syn-v2-700-scratch-0008.jpg,synthetic/v2_700/masks/scratch/syn-v2-700-scratch-0008.png,synthetic_restored,train,IMGGEN-CLEAN-BACK-V1,SYNTH-BASE-KIA7809AF-BACK-001,SPEC-A,back,scratch,scratch,moderate,18103170,900971703,2.0.0,dual-resolution-post-jpeg-v1,fdcbf940176700536c05a5f2e7aa1f3420334372adeb3f7969fb932b7ebfa6ee,cb5fed83f6415c3bb3f6c26fce8fee402b064f28c0ad1c03b1bdc5dfa8d1ad8a,9f1d6c1d5b95edde9a99bfd950b6941ce6229ba44e1aa3baaca92d500cc3f99e,d2d5ba9d2e861f2c6dda92d45ef2f01e6b6d49a9fa3ecb9744c99ccf2905c65a,512,512,420,0.0016021729,1.0000000000,97.2256546021,220,125,49,116,420,94.456352,45.441631,0.983333,79,84.227844,37.904003,1.000000,TRAIN_ONLY_SYNTHETIC_NG,NO,AUTO_PASS_POST_JPEG_512_224,NO,"{""224"":{""area"":79,""bbox_h"":49,""bbox_w"":22,""changed_fraction"":1.0,""delta_e76_p50"":37.904003,""diag"":53.712196,""major"":49,""mean_abs_delta"":84.227844,""minor"":22},""512"":{""area"":420,""bbox_h"":116,""bbox_w"":49,""changed_fraction"":0.983333,""delta_e76_p50"":45.441631,""diag"":125.924581,""major"":116,""mean_abs_delta"":94.456352,""minor"":49}}","{""attempt"":0,""effective_seed"":900971703,""geometry"":{""rotation_deg"":-6.964562109145858,""scale"":0.9221197417492403,""translate_x"":-8.472309899016349,""translate_y"":-4.338543151882504},""instance_pre_transform"":{""color_rgb"":[24,34,50],""count"":1,""length_px"":[131.735],""opacity"":0.8824,""recipe_subtype"":""high_visibility_curved_scratch"",""surface"":""metal_tab"",""width_px"":[3.77]},""photometric"":{""blur_radius"":0.5264792009589337,""brightness"":0.9586378108923638,""channel_gain_b"":1.0096059375155748,""channel_gain_g"":1.018981118432399,""channel_gain_r"":1.0045577036447078,""contrast"":1.0737410696582632,""noise_seed"":3507902542,""noise_sigma"":0.12000948340773854,""saturation"":1.0243622253592706},""recipe"":[""scratch""],""severity"":""moderate""}"
syn-v2-700-scratch-0009,synthetic/v2_700/images/scratch/syn-v2-700-scratch-0009.jpg,synthetic/v2_700/masks/scratch/syn-v2-700-scratch-0009.png,synthetic_restored,train,IMGGEN-CLEAN-BACK-V1,SYNTH-BASE-KIA7809AF-BACK-001,SPEC-A,back,scratch,scratch,mild,18103170,1153477072,2.0.0,dual-resolution-post-jpeg-v1,fdcbf940176700536c05a5f2e7aa1f3420334372adeb3f7969fb932b7ebfa6ee,cb5fed83f6415c3bb3f6c26fce8fee402b064f28c0ad1c03b1bdc5dfa8d1ad8a,4ddaa7fb8da39c891dc52facfb06c2d0ec333ff1522e038e8be093736960ebf1,5ec57db2b3d77ccb024b478b03f7d382a9f6e888d322fcfac52dba290670854e,512,512,190,0.0007247925,1.0000000000,76.3885498047,191,143,79,42,190,71.591225,31.104872,0.963158,41,57.219513,23.090773,0.951220,TRAIN_ONLY_SYNTHETIC_NG,NO,AUTO_PASS_POST_JPEG_512_224,NO,"{""224"":{""area"":41,""bbox_h"":18,""bbox_w"":34,""changed_fraction"":0.95122,""delta_e76_p50"":23.090773,""diag"":38.470768,""major"":34,""mean_abs_delta"":57.219513,""minor"":18},""512"":{""area"":190,""bbox_h"":42,""bbox_w"":79,""changed_fraction"":0.963158,""delta_e76_p50"":31.104872,""diag"":89.470666,""major"":79,""mean_abs_delta"":71.591225,""minor"":42}}","{""attempt"":0,""effective_seed"":1153477072,""geometry"":{""rotation_deg"":-3.7882852851572437,""scale"":1.0633209047183079,""translate_x"":6.086768117778249,""translate_y"":-6.396534591611673},""instance_pre_transform"":{""color_rgb"":[29,30,28],""count"":1,""length_px"":[81.123],""opacity"":0.746,""recipe_subtype"":""high_visibility_curved_scratch"",""surface"":""metal_tab"",""width_px"":[2.816]},""photometric"":{""blur_radius"":0.18959986375148963,""brightness"":1.0072359405359885,""channel_gain_b"":1.0007773976323717,""channel_gain_g"":0.9966094354556433,""channel_gain_r"":1.0281954145094265,""contrast"":0.9866048723144266,""noise_seed"":1965064997,""noise_sigma"":1.9820840978233998,""saturation"":1.051899597155749},""recipe"":[""scratch""],""severity"":""mild""}"
