axis,class,value,count
primary_class,scratch,scratch,100
severity,scratch,mild,40
severity,scratch,moderate,40
severity,scratch,severe,20
primary_class,surface_spot,surface_spot,100
severity,surface_spot,mild,40
severity,surface_spot,moderate,40
severity,surface_spot,severe,20
primary_class,discoloration,discoloration,100
severity,discoloration,mild,40
severity,discoloration,moderate,40
severity,discoloration,severe,20
primary_class,contamination,contamination,100
severity,contamination,mild,40
severity,contamination,moderate,40
severity,contamination,severe,20
primary_class,lead_breakage,lead_breakage,100
severity,lead_breakage,mild,40
severity,lead_breakage,moderate,40
severity,lead_breakage,severe,20
primary_class,body_chip,body_chip,100
severity,body_chip,mild,40
severity,body_chip,moderate,40
severity,body_chip,severe,20
primary_class,body_crack,body_crack,100
severity,body_crack,mild,40
severity,body_crack,moderate,40
severity,body_crack,severe,20
