axis,class,value,count
primary_class,scratch,scratch,144
severity,scratch,mild,54
severity,scratch,moderate,60
severity,scratch,severe,30
primary_class,surface_spot,surface_spot,144
severity,surface_spot,mild,60
severity,surface_spot,moderate,54
severity,surface_spot,severe,30
primary_class,discoloration,discoloration,144
severity,discoloration,mild,54
severity,discoloration,moderate,60
severity,discoloration,severe,30
primary_class,contamination,contamination,144
severity,contamination,mild,60
severity,contamination,moderate,54
severity,contamination,severe,30
primary_class,lead_breakage,lead_breakage,144
severity,lead_breakage,mild,54
severity,lead_breakage,moderate,60
severity,lead_breakage,severe,30
primary_class,body_chip,body_chip,144
severity,body_chip,mild,60
severity,body_chip,moderate,54
severity,body_chip,severe,30
primary_class,body_crack,body_crack,144
severity,body_crack,mild,54
severity,body_crack,moderate,60
severity,body_crack,severe,30
condition_profile,scratch,underexposure,24
condition_profile,scratch,overexposure,24
condition_profile,scratch,warm_directional,24
condition_profile,scratch,cool_directional,24
condition_profile,scratch,soft_shadow_vignette,24
condition_profile,scratch,specular_sensor,24
condition_profile,surface_spot,underexposure,24
condition_profile,surface_spot,overexposure,24
condition_profile,surface_spot,warm_directional,24
condition_profile,surface_spot,cool_directional,24
condition_profile,surface_spot,soft_shadow_vignette,24
condition_profile,surface_spot,specular_sensor,24
condition_profile,discoloration,underexposure,24
condition_profile,discoloration,overexposure,24
condition_profile,discoloration,warm_directional,24
condition_profile,discoloration,cool_directional,24
condition_profile,discoloration,soft_shadow_vignette,24
condition_profile,discoloration,specular_sensor,24
condition_profile,contamination,underexposure,24
condition_profile,contamination,overexposure,24
condition_profile,contamination,warm_directional,24
condition_profile,contamination,cool_directional,24
condition_profile,contamination,soft_shadow_vignette,24
condition_profile,contamination,specular_sensor,24
condition_profile,lead_breakage,underexposure,24
condition_profile,lead_breakage,overexposure,24
condition_profile,lead_breakage,warm_directional,24
condition_profile,lead_breakage,cool_directional,24
condition_profile,lead_breakage,soft_shadow_vignette,24
condition_profile,lead_breakage,specular_sensor,24
condition_profile,body_chip,underexposure,24
condition_profile,body_chip,overexposure,24
condition_profile,body_chip,warm_directional,24
condition_profile,body_chip,cool_directional,24
condition_profile,body_chip,soft_shadow_vignette,24
condition_profile,body_chip,specular_sensor,24
condition_profile,body_crack,underexposure,24
condition_profile,body_crack,overexposure,24
condition_profile,body_crack,warm_directional,24
condition_profile,body_crack,cool_directional,24
condition_profile,body_crack,soft_shadow_vignette,24
condition_profile,body_crack,specular_sensor,24
