scene_id,image_id,image_path,component_instance_mask_path,defect_semantic_mask_path,component_yolo_path,defect_yolo_path,domain,split,task_type,training_use,evaluation_eligible,classification_eligible,lighting_profile,background_asset_id,scene_seed,attempt,instance_count,distinct_class_count,component_status_labels,source_parent_ids,composition_family_id,width,height,image_sha256,component_mask_sha256,defect_mask_sha256,component_yolo_sha256,defect_yolo_sha256,background_mean_luma,background_std_luma,background_p99_luma,component_mean_luma,component_background_luma_delta,component_background_luma_ratio,component_light_spill_p99,component_light_spill_max,background_luma_reference,config_sha256,generator_version,qc_gate_version,qc_status,human_verified,background_params_json,sensor_params_json,shadow_params_json
syn-v4-conv-0000,1,synthetic/v4_conveyor/images/train/syn-v4-conv-0000.jpg,synthetic/v4_conveyor/masks/component_visible_instances/train/syn-v4-conv-0000.png,synthetic/v4_conveyor/masks/defect_semantic/train/syn-v4-conv-0000.png,synthetic/v4_conveyor/labels/yolo_component_status/train/syn-v4-conv-0000.txt,synthetic/v4_conveyor/labels/yolo_defects/train/syn-v4-conv-0000.txt,synthetic_black_conveyor_multi_instance,train,multi_instance_detection_segmentation,TRAIN_ONLY_MULTI_SCENE_SYNTHETIC,NO,NO,neutral_component_spot,IMGGEN-CONVEYOR-BLACK-V1,3979263480,0,5,5,body_chip|scratch|body_crack|surface_spot|normal_proxy,syn-v2-700-body_chip-0046|syn-v2-700-scratch-0008|syn-v2-700-body_crack-0096|syn-v2-700-surface_spot-0004|syn-v2-700-scratch-0087,syn-v4-conv-0000,1280,720,3c228c6c64ae16f95b47d13ab29f4f709e9fbcc1019c8361c2b457ee9d0924dc,a048e64e95065de51d8efbd451718b9939a2f64d146fb8750df624be1ce5ebd5,142e3af437a9f990e4bc454132686fd7b07e2b82a9aca03bc78a3a60d9eab754,cc410c2d465ac3ef43b330af6d812d2e2b061ebad26b5bb3063edf0338e7c7e5,926765635cc808077c2ef142d8da2f50b2eff6f96f3347dc3bb406b83dd04f71,33.207272,4.091755,44.144402,141.350189,108.142918,4.256604,0.000000,0.000000,SHADOWLESS_SAME_SENSOR_JPEG,fa5adb968da368a28b85a711cd7b3d0aab6829453361eb686e915af6797cf717,4.0.0,multi-instance-paired-clean-1024-v1,AUTO_PASS_MULTI_INSTANCE_PAIRED_CLEAN_1024,NO,"{""brightness"":0.94358264,""contrast"":1.00876894,""crop_x"":0,""crop_y"":305,""noise_seed"":37193176,""noise_sigma"":0.84543952,""orientation_degrees"":180,""resized_height"":1280,""resized_width"":1280}","{""blur_radius_px"":0.15537920690005583,""jpeg_quality"":94,""noise_seed"":2468087977,""noise_sigma"":1.2339044468899922}","{""blur_radius_px"":5.225556150093812,""instances"":[{""instance_index"":1,""offset_x_px"":2,""offset_y_px"":8,""opacity"":0.29694814},{""instance_index"":2,""offset_x_px"":4,""offset_y_px"":8,""opacity"":0.21419147},{""instance_index"":3,""offset_x_px"":4,""offset_y_px"":8,""opacity"":0.25524013},{""instance_index"":4,""offset_x_px"":3,""offset_y_px"":7,""opacity"":0.3159803},{""instance_index"":5,""offset_x_px"":3,""offset_y_px"":7,""opacity"":0.21590288}]}"
syn-v4-conv-0001,2,synthetic/v4_conveyor/images/train/syn-v4-conv-0001.jpg,synthetic/v4_conveyor/masks/component_visible_instances/train/syn-v4-conv-0001.png,synthetic/v4_conveyor/masks/defect_semantic/train/syn-v4-conv-0001.png,synthetic/v4_conveyor/labels/yolo_component_status/train/syn-v4-conv-0001.txt,synthetic/v4_conveyor/labels/yolo_defects/train/syn-v4-conv-0001.txt,synthetic_black_conveyor_multi_instance,train,multi_instance_detection_segmentation,TRAIN_ONLY_MULTI_SCENE_SYNTHETIC,NO,NO,warm_component_spot,IMGGEN-CONVEYOR-BLACK-V1,2913443996,0,5,5,discoloration|lead_breakage|contamination|surface_spot|normal_proxy,syn-v2-700-discoloration-0045|syn-v2-700-lead_breakage-0008|syn-v2-700-contamination-0011|syn-v2-700-surface_spot-0021|syn-v2-700-discoloration-0070,syn-v4-conv-0001,1280,720,435983d6ae7b700d12ff6789cf8db0af10fb3b2c41825fecb6b585cf1c2cf09a,5188876117c0c589c329c42c27503c0403d4752d6ec9dbd922efe95f5ede2409,6537793c29f9d6c45762df4c3816e9715daf3d3a3488fddc518efb2f2b499b95,96c90dde7a085086904d8233082692ab7f79119c264d69a7a5a033c9c54e8682,6c11c3dc16bf3c5b3878b91efce507a889cea71c2e8ced0d83d7a211599bc11c,30.506184,4.157368,41.144398,142.651428,112.145245,4.676148,0.000000,0.000000,SHADOWLESS_SAME_SENSOR_JPEG,fa5adb968da368a28b85a711cd7b3d0aab6829453361eb686e915af6797cf717,4.0.0,multi-instance-paired-clean-1024-v1,AUTO_PASS_MULTI_INSTANCE_PAIRED_CLEAN_1024,NO,"{""brightness"":0.86881267,""contrast"":1.01145235,""crop_x"":0,""crop_y"":423,""noise_seed"":439952056,""noise_sigma"":0.03050157,""orientation_degrees"":90,""resized_height"":1280,""resized_width"":1280}","{""blur_radius_px"":0.11554722670974442,""jpeg_quality"":96,""noise_seed"":4159962220,""noise_sigma"":1.177729502661925}","{""blur_radius_px"":8.176580115257934,""instances"":[{""instance_index"":1,""offset_x_px"":4,""offset_y_px"":9,""opacity"":0.20146389},{""instance_index"":2,""offset_x_px"":0,""offset_y_px"":6,""opacity"":0.26524203},{""instance_index"":3,""offset_x_px"":4,""offset_y_px"":7,""opacity"":0.3055522},{""instance_index"":4,""offset_x_px"":-1,""offset_y_px"":8,""opacity"":0.31568348},{""instance_index"":5,""offset_x_px"":0,""offset_y_px"":6,""opacity"":0.20189352}]}"
syn-v4-conv-0002,3,synthetic/v4_conveyor/images/train/syn-v4-conv-0002.jpg,synthetic/v4_conveyor/masks/component_visible_instances/train/syn-v4-conv-0002.png,synthetic/v4_conveyor/masks/defect_semantic/train/syn-v4-conv-0002.png,synthetic/v4_conveyor/labels/yolo_component_status/train/syn-v4-conv-0002.txt,synthetic/v4_conveyor/labels/yolo_defects/train/syn-v4-conv-0002.txt,synthetic_black_conveyor_multi_instance,train,multi_instance_detection_segmentation,TRAIN_ONLY_MULTI_SCENE_SYNTHETIC,NO,NO,cool_component_spot,IMGGEN-CONVEYOR-BLACK-V1,315775457,0,5,5,discoloration|body_crack|surface_spot|lead_breakage|contamination,syn-v2-700-discoloration-0025|syn-v2-700-body_crack-0079|syn-v2-700-surface_spot-0024|syn-v2-700-lead_breakage-0012|syn-v2-700-contamination-0088,syn-v4-conv-0002,1280,720,649cf4cc9b76e9ff8db101300ed145ed825e1deb515b1d63d751f5ce20cc2e4e,d65ce1d8d6442553b058148feaca166690b55f70c7b18e3e53f2ded7d48f23b6,88c1d34ee003771c90969a7f505bc860e577cf29817c901722f00c6024717f47,685aed89bba64d4a0f289cd20a70a7ed475ba602a78483687097d66e5152a9c4,e102b4959b4425d5a15d63be8f56fdcc8c9024ef3354e4615e3ee236115f21e2,27.965399,3.505105,37.000000,136.476288,108.510889,4.880184,0.000000,0.000000,SHADOWLESS_SAME_SENSOR_JPEG,fa5adb968da368a28b85a711cd7b3d0aab6829453361eb686e915af6797cf717,4.0.0,multi-instance-paired-clean-1024-v1,AUTO_PASS_MULTI_INSTANCE_PAIRED_CLEAN_1024,NO,"{""brightness"":0.82077781,""contrast"":1.05612357,""crop_x"":0,""crop_y"":476,""noise_seed"":2530603549,""noise_sigma"":0.5626595,""orientation_degrees"":0,""resized_height"":1280,""resized_width"":1280}","{""blur_radius_px"":0.24423298874575963,""jpeg_quality"":95,""noise_seed"":1472196391,""noise_sigma"":0.8110846747513221}","{""blur_radius_px"":8.523877168475282,""instances"":[{""instance_index"":1,""offset_x_px"":0,""offset_y_px"":10,""opacity"":0.31420141},{""instance_index"":2,""offset_x_px"":4,""offset_y_px"":9,""opacity"":0.28432426},{""instance_index"":3,""offset_x_px"":2,""offset_y_px"":7,""opacity"":0.23100499},{""instance_index"":4,""offset_x_px"":-3,""offset_y_px"":6,""opacity"":0.31530983},{""instance_index"":5,""offset_x_px"":0,""offset_y_px"":6,""opacity"":0.2824439}]}"
syn-v4-conv-0003,4,synthetic/v4_conveyor/images/train/syn-v4-conv-0003.jpg,synthetic/v4_conveyor/masks/component_visible_instances/train/syn-v4-conv-0003.png,synthetic/v4_conveyor/masks/defect_semantic/train/syn-v4-conv-0003.png,synthetic/v4_conveyor/labels/yolo_component_status/train/syn-v4-conv-0003.txt,synthetic/v4_conveyor/labels/yolo_defects/train/syn-v4-conv-0003.txt,synthetic_black_conveyor_multi_instance,train,multi_instance_detection_segmentation,TRAIN_ONLY_MULTI_SCENE_SYNTHETIC,NO,NO,side_component_spot,IMGGEN-CONVEYOR-BLACK-V1,2076697439,0,5,5,discoloration|surface_spot|scratch|lead_breakage|body_chip,syn-v2-700-discoloration-0047|syn-v2-700-surface_spot-0090|syn-v2-700-scratch-0094|syn-v2-700-lead_breakage-0056|syn-v2-700-body_chip-0063,syn-v4-conv-0003,1280,720,141d99ebebe85cab8d77edc512a501a771c065c34b8b667647f119ddf4ad41fc,bac3f026186f592c60cec54e794f2f0f807da65c04a3bc957a21d115fbf5aec1,01ba210fbd87f215a766ec2b5024c32f9bef136e819c20f44ba5694886ec323e,a371e6e61833c8bb9acf75f12a4652d84f5ce5924f8f776399ff962796b2db76,b82f214308085dd5afb46fb187cb9e5bd32eb8856836cb870820e5a065049717,27.360004,3.586066,36.931801,141.380371,114.020367,5.167410,0.000000,0.000000,SHADOWLESS_SAME_SENSOR_JPEG,fa5adb968da368a28b85a711cd7b3d0aab6829453361eb686e915af6797cf717,4.0.0,multi-instance-paired-clean-1024-v1,AUTO_PASS_MULTI_INSTANCE_PAIRED_CLEAN_1024,NO,"{""brightness"":0.7767275,""contrast"":1.05349521,""crop_x"":0,""crop_y"":164,""noise_seed"":4188577804,""noise_sigma"":0.81590937,""orientation_degrees"":0,""resized_height"":1280,""resized_width"":1280}","{""blur_radius_px"":0.14109343641053448,""jpeg_quality"":93,""noise_seed"":2814066212,""noise_sigma"":0.847877113363497}","{""blur_radius_px"":5.5354156999910105,""instances"":[{""instance_index"":1,""offset_x_px"":0,""offset_y_px"":5,""opacity"":0.1870351},{""instance_index"":2,""offset_x_px"":2,""offset_y_px"":10,""opacity"":0.31823691},{""instance_index"":3,""offset_x_px"":0,""offset_y_px"":7,""opacity"":0.24248237},{""instance_index"":4,""offset_x_px"":4,""offset_y_px"":10,""opacity"":0.24954373},{""instance_index"":5,""offset_x_px"":-3,""offset_y_px"":6,""opacity"":0.20766395}]}"
syn-v4-conv-0004,5,synthetic/v4_conveyor/images/train/syn-v4-conv-0004.jpg,synthetic/v4_conveyor/masks/component_visible_instances/train/syn-v4-conv-0004.png,synthetic/v4_conveyor/masks/defect_semantic/train/syn-v4-conv-0004.png,synthetic/v4_conveyor/labels/yolo_component_status/train/syn-v4-conv-0004.txt,synthetic/v4_conveyor/labels/yolo_defects/train/syn-v4-conv-0004.txt,synthetic_black_conveyor_multi_instance,train,multi_instance_detection_segmentation,TRAIN_ONLY_MULTI_SCENE_SYNTHETIC,NO,NO,neutral_component_spot,IMGGEN-CONVEYOR-BLACK-V1,4112512382,0,5,5,surface_spot|body_crack|scratch|body_chip|lead_breakage,syn-v2-700-surface_spot-0037|syn-v2-700-body_crack-0084|syn-v2-700-scratch-0023|syn-v2-700-body_chip-0035|syn-v2-700-lead_breakage-0056,syn-v4-conv-0004,1280,720,9a3f71b1e8cddf8b70b50248651a8bb04c25e8ed119ae6a591cf605eb4fe2929,479ee0fde7b869583eda0500177a5c92697ed0a37286c9682d24a8a4595baf33,4a1af43ea1447e3d01d62746fe5921daf6957fa16ff6d27146139cb023eae87a,6b2f3ee20b5e6b44059abf18223a155cbd5f66053a65de335b3d2db93e2beb0b,9c9b30d1b67941a83928bd54aac0556dc60effc7ba2241cc32908b9e65e7bf80,28.028883,3.755641,38.000000,147.556564,119.527681,5.264447,0.000000,0.000000,SHADOWLESS_SAME_SENSOR_JPEG,fa5adb968da368a28b85a711cd7b3d0aab6829453361eb686e915af6797cf717,4.0.0,multi-instance-paired-clean-1024-v1,AUTO_PASS_MULTI_INSTANCE_PAIRED_CLEAN_1024,NO,"{""brightness"":0.79967857,""contrast"":1.02726653,""crop_x"":0,""crop_y"":2,""noise_seed"":1104000370,""noise_sigma"":0.66915822,""orientation_degrees"":90,""resized_height"":1280,""resized_width"":1280}","{""blur_radius_px"":0.039235398401467204,""jpeg_quality"":93,""noise_seed"":3094891960,""noise_sigma"":0.6643001547935341}","{""blur_radius_px"":5.836959631252136,""instances"":[{""instance_index"":1,""offset_x_px"":1,""offset_y_px"":8,""opacity"":0.2967419},{""instance_index"":2,""offset_x_px"":1,""offset_y_px"":9,""opacity"":0.24194818},{""instance_index"":3,""offset_x_px"":4,""offset_y_px"":6,""opacity"":0.28684604},{""instance_index"":4,""offset_x_px"":0,""offset_y_px"":10,""opacity"":0.24212948},{""instance_index"":5,""offset_x_px"":1,""offset_y_px"":9,""opacity"":0.24472231}]}"
syn-v4-conv-0005,6,synthetic/v4_conveyor/images/train/syn-v4-conv-0005.jpg,synthetic/v4_conveyor/masks/component_visible_instances/train/syn-v4-conv-0005.png,synthetic/v4_conveyor/masks/defect_semantic/train/syn-v4-conv-0005.png,synthetic/v4_conveyor/labels/yolo_component_status/train/syn-v4-conv-0005.txt,synthetic/v4_conveyor/labels/yolo_defects/train/syn-v4-conv-0005.txt,synthetic_black_conveyor_multi_instance,train,multi_instance_detection_segmentation,TRAIN_ONLY_MULTI_SCENE_SYNTHETIC,NO,NO,warm_component_spot,IMGGEN-CONVEYOR-BLACK-V1,2153720386,0,5,5,discoloration|body_chip|scratch|surface_spot|lead_breakage,syn-v2-700-discoloration-0070|syn-v2-700-body_chip-0060|syn-v2-700-scratch-0096|syn-v2-700-surface_spot-0034|syn-v2-700-lead_breakage-0010,syn-v4-conv-0005,1280,720,d8236193938695e35472d4931b4eec76f0ee44d0c4086d1fdc160220651cee39,16a581ce51b1e35be5497f23c12f13c60953c1cc6a7453719a765dba76e4758f,5fe82598d310f29e3ccaf8b96a9acbcc3086a7c67ca3891b3b0b1bf67c6268df,ec01dc07e5c96a2864c81463efb07413d73cd66addead8ef57073ed1c258b787,e515e69437bbb868eb1296375b0e2e6ae6f1559ac088edbe49b1b8add10f54c1,31.430849,3.251791,40.502602,145.742752,114.311903,4.636933,0.000000,0.000000,SHADOWLESS_SAME_SENSOR_JPEG,fa5adb968da368a28b85a711cd7b3d0aab6829453361eb686e915af6797cf717,4.0.0,multi-instance-paired-clean-1024-v1,AUTO_PASS_MULTI_INSTANCE_PAIRED_CLEAN_1024,NO,"{""brightness"":0.9017324,""contrast"":0.95129715,""crop_x"":0,""crop_y"":211,""noise_seed"":1948738463,""noise_sigma"":0.85391917,""orientation_degrees"":180,""resized_height"":1280,""resized_width"":1280}","{""blur_radius_px"":0.03634334017121551,""jpeg_quality"":94,""noise_seed"":2342878017,""noise_sigma"":1.1903437278028763}","{""blur_radius_px"":5.720281220944048,""instances"":[{""instance_index"":1,""offset_x_px"":5,""offset_y_px"":5,""opacity"":0.24041864},{""instance_index"":2,""offset_x_px"":-1,""offset_y_px"":8,""opacity"":0.20335053},{""instance_index"":3,""offset_x_px"":3,""offset_y_px"":10,""opacity"":0.21359562},{""instance_index"":4,""offset_x_px"":-2,""offset_y_px"":10,""opacity"":0.28757709},{""instance_index"":5,""offset_x_px"":2,""offset_y_px"":7,""opacity"":0.2881855}]}"
syn-v4-conv-0006,7,synthetic/v4_conveyor/images/train/syn-v4-conv-0006.jpg,synthetic/v4_conveyor/masks/component_visible_instances/train/syn-v4-conv-0006.png,synthetic/v4_conveyor/masks/defect_semantic/train/syn-v4-conv-0006.png,synthetic/v4_conveyor/labels/yolo_component_status/train/syn-v4-conv-0006.txt,synthetic/v4_conveyor/labels/yolo_defects/train/syn-v4-conv-0006.txt,synthetic_black_conveyor_multi_instance,train,multi_instance_detection_segmentation,TRAIN_ONLY_MULTI_SCENE_SYNTHETIC,NO,NO,cool_component_spot,IMGGEN-CONVEYOR-BLACK-V1,950474220,0,5,5,normal_proxy|discoloration|lead_breakage|body_crack|contamination,syn-v2-700-scratch-0094|syn-v2-700-discoloration-0023|syn-v2-700-lead_breakage-0017|syn-v2-700-body_crack-0052|syn-v2-700-contamination-0020,syn-v4-conv-0006,1280,720,ed408077d8828bc97e3e6161e312c08d29a0af960598d9dd145b57402331f894,ba5914cd4b3da4869e526c53caea6fd4d51623a331b8deac74e6b6eaee7d291b,c17d8f76645f8ae275840d3de1800597f8a5dce9fc2cff8c07da6bc4c2a41b37,e72cc156fbf91739a07ff5a4e2a5ceaf19a0eb06aa39e87fa1c12bb0a13a58a6,5d5cf7c84692bd66977e07192ef25a2cad121b23c18b9804ac6082943927ee18,27.311127,3.577492,36.502602,135.039383,107.728256,4.944482,0.000000,0.000000,SHADOWLESS_SAME_SENSOR_JPEG,fa5adb968da368a28b85a711cd7b3d0aab6829453361eb686e915af6797cf717,4.0.0,multi-instance-paired-clean-1024-v1,AUTO_PASS_MULTI_INSTANCE_PAIRED_CLEAN_1024,NO,"{""brightness"":0.78101658,""contrast"":1.01396991,""crop_x"":0,""crop_y"":361,""noise_seed"":196465270,""noise_sigma"":1.19834841,""orientation_degrees"":180,""resized_height"":1280,""resized_width"":1280}","{""blur_radius_px"":0.16818529839649374,""jpeg_quality"":93,""noise_seed"":225765247,""noise_sigma"":0.5094026263637783}","{""blur_radius_px"":7.587694099491914,""instances"":[{""instance_index"":1,""offset_x_px"":-3,""offset_y_px"":10,""opacity"":0.23436015},{""instance_index"":2,""offset_x_px"":5,""offset_y_px"":6,""opacity"":0.302213},{""instance_index"":3,""offset_x_px"":-2,""offset_y_px"":8,""opacity"":0.1803695},{""instance_index"":4,""offset_x_px"":-2,""offset_y_px"":8,""opacity"":0.21794771},{""instance_index"":5,""offset_x_px"":1,""offset_y_px"":10,""opacity"":0.1870968}]}"
syn-v4-conv-0007,8,synthetic/v4_conveyor/images/train/syn-v4-conv-0007.jpg,synthetic/v4_conveyor/masks/component_visible_instances/train/syn-v4-conv-0007.png,synthetic/v4_conveyor/masks/defect_semantic/train/syn-v4-conv-0007.png,synthetic/v4_conveyor/labels/yolo_component_status/train/syn-v4-conv-0007.txt,synthetic/v4_conveyor/labels/yolo_defects/train/syn-v4-conv-0007.txt,synthetic_black_conveyor_multi_instance,train,multi_instance_detection_segmentation,TRAIN_ONLY_MULTI_SCENE_SYNTHETIC,NO,NO,side_component_spot,IMGGEN-CONVEYOR-BLACK-V1,1684653161,0,5,5,discoloration|contamination|lead_breakage|body_crack|body_chip,syn-v2-700-discoloration-0073|syn-v2-700-contamination-0054|syn-v2-700-lead_breakage-0017|syn-v2-700-body_crack-0078|syn-v2-700-body_chip-0074,syn-v4-conv-0007,1280,720,39def11be4f2641eca3455ef190f3830ec6ff6193f9af444615d9fb3af9ca406,09e49444fb492a0c1e6d56e409e006efa9d01fe6ecfbb1cdd8fa7e1713f9748c,f156194be53fa141a39205f4dcfc64983a58ea8322d4d422b210f1e47106b5d0,7ba108e04bd11b88a8894a371af7544a6166df4cc25df0e1998dae5d813ba0e1,8385b8ed6992402958e8ea45905f6a1a905d2d8d0614b55b6ae7199df775481a,28.643509,3.082849,37.144398,140.886978,112.243469,4.918635,0.000000,0.000000,SHADOWLESS_SAME_SENSOR_JPEG,fa5adb968da368a28b85a711cd7b3d0aab6829453361eb686e915af6797cf717,4.0.0,multi-instance-paired-clean-1024-v1,AUTO_PASS_MULTI_INSTANCE_PAIRED_CLEAN_1024,NO,"{""brightness"":0.81217622,""contrast"":0.92113693,""crop_x"":0,""crop_y"":65,""noise_seed"":2047853169,""noise_sigma"":0.94685385,""orientation_degrees"":90,""resized_height"":1280,""resized_width"":1280}","{""blur_radius_px"":0.224391624476049,""jpeg_quality"":94,""noise_seed"":951603203,""noise_sigma"":0.31938923514707046}","{""blur_radius_px"":5.272405513021878,""instances"":[{""instance_index"":1,""offset_x_px"":-3,""offset_y_px"":6,""opacity"":0.3077568},{""instance_index"":2,""offset_x_px"":3,""offset_y_px"":8,""opacity"":0.31953056},{""instance_index"":3,""offset_x_px"":-3,""offset_y_px"":9,""opacity"":0.19469241},{""instance_index"":4,""offset_x_px"":2,""offset_y_px"":10,""opacity"":0.25819335},{""instance_index"":5,""offset_x_px"":-2,""offset_y_px"":10,""opacity"":0.29629025}]}"
syn-v4-conv-0008,9,synthetic/v4_conveyor/images/train/syn-v4-conv-0008.jpg,synthetic/v4_conveyor/masks/component_visible_instances/train/syn-v4-conv-0008.png,synthetic/v4_conveyor/masks/defect_semantic/train/syn-v4-conv-0008.png,synthetic/v4_conveyor/labels/yolo_component_status/train/syn-v4-conv-0008.txt,synthetic/v4_conveyor/labels/yolo_defects/train/syn-v4-conv-0008.txt,synthetic_black_conveyor_multi_instance,train,multi_instance_detection_segmentation,TRAIN_ONLY_MULTI_SCENE_SYNTHETIC,NO,NO,neutral_component_spot,IMGGEN-CONVEYOR-BLACK-V1,1194206396,0,5,5,contamination|discoloration|lead_breakage|body_chip|scratch,syn-v2-700-contamination-0002|syn-v2-700-discoloration-0025|syn-v2-700-lead_breakage-0076|syn-v2-700-body_chip-0005|syn-v2-700-scratch-0073,syn-v4-conv-0008,1280,720,7ce0dcb65f4ab556c137d649541c199c872178825b9f26ca5c782fd53df6b1a6,cbdd63bd41c27e1db00984f7660b201ed2f2746d5996ec78dc2e8df9e4855045,2a34663a4eb117de789e7082f2381f20e583be3c5b1e7d0f34550437af4f6926,55e4facb43c7e56f9e74af70d8c668e52b5cc6147d3d1ac830de842986affc2f,29d5f085b9d4e33753cceee36e7bf048d672cd15e661f35efa12203d2b93b2df,33.418053,3.585942,43.144402,136.205124,102.787071,4.075795,0.000000,0.000000,SHADOWLESS_SAME_SENSOR_JPEG,fa5adb968da368a28b85a711cd7b3d0aab6829453361eb686e915af6797cf717,4.0.0,multi-instance-paired-clean-1024-v1,AUTO_PASS_MULTI_INSTANCE_PAIRED_CLEAN_1024,NO,"{""brightness"":0.93710293,""contrast"":0.95403156,""crop_x"":0,""crop_y"":185,""noise_seed"":2161290512,""noise_sigma"":0.08503208,""orientation_degrees"":0,""resized_height"":1280,""resized_width"":1280}","{""blur_radius_px"":0.02107522192619051,""jpeg_quality"":96,""noise_seed"":102898248,""noise_sigma"":0.7496269561490023}","{""blur_radius_px"":5.891450975443665,""instances"":[{""instance_index"":1,""offset_x_px"":-2,""offset_y_px"":6,""opacity"":0.29410137},{""instance_index"":2,""offset_x_px"":1,""offset_y_px"":6,""opacity"":0.20001223},{""instance_index"":3,""offset_x_px"":2,""offset_y_px"":6,""opacity"":0.2260861},{""instance_index"":4,""offset_x_px"":1,""offset_y_px"":5,""opacity"":0.25121665},{""instance_index"":5,""offset_x_px"":-1,""offset_y_px"":7,""opacity"":0.19335049}]}"
syn-v4-conv-0009,10,synthetic/v4_conveyor/images/train/syn-v4-conv-0009.jpg,synthetic/v4_conveyor/masks/component_visible_instances/train/syn-v4-conv-0009.png,synthetic/v4_conveyor/masks/defect_semantic/train/syn-v4-conv-0009.png,synthetic/v4_conveyor/labels/yolo_component_status/train/syn-v4-conv-0009.txt,synthetic/v4_conveyor/labels/yolo_defects/train/syn-v4-conv-0009.txt,synthetic_black_conveyor_multi_instance,train,multi_instance_detection_segmentation,TRAIN_ONLY_MULTI_SCENE_SYNTHETIC,NO,NO,warm_component_spot,IMGGEN-CONVEYOR-BLACK-V1,3910064810,0,5,5,body_crack|scratch|discoloration|body_chip|normal_proxy,syn-v2-700-body_crack-0008|syn-v2-700-scratch-0001|syn-v2-700-discoloration-0027|syn-v2-700-body_chip-0006|syn-v2-700-body_chip-0055,syn-v4-conv-0009,1280,720,6d5fdd96e16704ae9771aeef322632cc298944dcaa2ebb3031692f03003bf0a9,c4a30b42048d57229e3d16dbd0dc983fdb20f551b572bc50960f6db1bd903a5a,78f3794dc607fad1b207145d4953e1d7c971343cec51b66def3acceff8791277,6cbc7347c631dc8dbf242d22c88ec1043efc9344375cab4967f23163eab3607b,a625149766759029c7c88c655ee41ef3d0ed178f012ed6b9cf41b32a08767447,33.315311,3.491378,43.931801,145.857880,112.542568,4.378103,0.000000,0.000000,SHADOWLESS_SAME_SENSOR_JPEG,fa5adb968da368a28b85a711cd7b3d0aab6829453361eb686e915af6797cf717,4.0.0,multi-instance-paired-clean-1024-v1,AUTO_PASS_MULTI_INSTANCE_PAIRED_CLEAN_1024,NO,"{""brightness"":0.94254723,""contrast"":0.97293472,""crop_x"":0,""crop_y"":560,""noise_seed"":246512343,""noise_sigma"":0.15351322,""orientation_degrees"":270,""resized_height"":1280,""resized_width"":1280}","{""blur_radius_px"":0.2020967911726483,""jpeg_quality"":92,""noise_seed"":2357332424,""noise_sigma"":1.2275100882070966}","{""blur_radius_px"":6.897462120489053,""instances"":[{""instance_index"":1,""offset_x_px"":-1,""offset_y_px"":8,""opacity"":0.26212193},{""instance_index"":2,""offset_x_px"":4,""offset_y_px"":8,""opacity"":0.18005014},{""instance_index"":3,""offset_x_px"":5,""offset_y_px"":9,""opacity"":0.22148275},{""instance_index"":4,""offset_x_px"":-2,""offset_y_px"":10,""opacity"":0.18620236},{""instance_index"":5,""offset_x_px"":1,""offset_y_px"":8,""opacity"":0.29221676}]}"
