condition_cell_id,multi_light_rig_id,synthetic_illuminance_proxy_bin,capture_plan_target_lux,shadow_regime_id,scene_count,class_normal_proxy,class_scratch,class_surface_spot,class_discoloration,class_contamination,class_lead_breakage,class_body_chip,class_body_crack
dual_opposed_neutral__P0__soft_contact_dominant,dual_opposed_neutral,P0,50,soft_contact_dominant,16,10,10,10,10,10,10,10,10
dual_opposed_neutral__P0__defined_directional,dual_opposed_neutral,P0,50,defined_directional,16,10,10,10,10,10,10,10,10
dual_opposed_neutral__P1__soft_contact_dominant,dual_opposed_neutral,P1,100,soft_contact_dominant,16,10,10,10,10,10,10,10,10
dual_opposed_neutral__P1__defined_directional,dual_opposed_neutral,P1,100,defined_directional,16,10,10,10,10,10,10,10,10
dual_opposed_neutral__P2__soft_contact_dominant,dual_opposed_neutral,P2,200,soft_contact_dominant,16,10,10,10,10,10,10,10,10
dual_opposed_neutral__P2__defined_directional,dual_opposed_neutral,P2,200,defined_directional,16,10,10,10,10,10,10,10,10
dual_opposed_neutral__P3__soft_contact_dominant,dual_opposed_neutral,P3,400,soft_contact_dominant,16,10,10,10,10,10,10,10,10
dual_opposed_neutral__P3__defined_directional,dual_opposed_neutral,P3,400,defined_directional,16,10,10,10,10,10,10,10,10
dual_opposed_neutral__P4__soft_contact_dominant,dual_opposed_neutral,P4,800,soft_contact_dominant,16,10,10,10,10,10,10,10,10
dual_opposed_neutral__P4__defined_directional,dual_opposed_neutral,P4,800,defined_directional,16,10,10,10,10,10,10,10,10
dual_opposed_neutral__P5__soft_contact_dominant,dual_opposed_neutral,P5,1600,soft_contact_dominant,16,10,10,10,10,10,10,10,10
dual_opposed_neutral__P5__defined_directional,dual_opposed_neutral,P5,1600,defined_directional,16,10,10,10,10,10,10,10,10
dual_cross_mixed_cct__P0__soft_contact_dominant,dual_cross_mixed_cct,P0,50,soft_contact_dominant,16,10,10,10,10,10,10,10,10
dual_cross_mixed_cct__P0__defined_directional,dual_cross_mixed_cct,P0,50,defined_directional,16,10,10,10,10,10,10,10,10
dual_cross_mixed_cct__P1__soft_contact_dominant,dual_cross_mixed_cct,P1,100,soft_contact_dominant,16,10,10,10,9,10,11,10,10
dual_cross_mixed_cct__P1__defined_directional,dual_cross_mixed_cct,P1,100,defined_directional,16,10,10,10,10,10,10,10,10
dual_cross_mixed_cct__P2__soft_contact_dominant,dual_cross_mixed_cct,P2,200,soft_contact_dominant,16,10,10,10,11,10,10,9,10
dual_cross_mixed_cct__P2__defined_directional,dual_cross_mixed_cct,P2,200,defined_directional,16,10,10,10,10,10,10,10,10
dual_cross_mixed_cct__P3__soft_contact_dominant,dual_cross_mixed_cct,P3,400,soft_contact_dominant,16,10,10,10,10,10,10,10,10
dual_cross_mixed_cct__P3__defined_directional,dual_cross_mixed_cct,P3,400,defined_directional,16,10,10,10,10,10,10,10,10
dual_cross_mixed_cct__P4__soft_contact_dominant,dual_cross_mixed_cct,P4,800,soft_contact_dominant,16,10,10,10,10,10,10,10,10
dual_cross_mixed_cct__P4__defined_directional,dual_cross_mixed_cct,P4,800,defined_directional,16,10,10,10,10,10,10,10,10
dual_cross_mixed_cct__P5__soft_contact_dominant,dual_cross_mixed_cct,P5,1600,soft_contact_dominant,16,10,10,10,10,10,10,10,10
dual_cross_mixed_cct__P5__defined_directional,dual_cross_mixed_cct,P5,1600,defined_directional,16,10,10,10,10,10,10,10,10
triple_asymmetric__P0__soft_contact_dominant,triple_asymmetric,P0,50,soft_contact_dominant,16,10,10,10,10,10,10,10,10
triple_asymmetric__P0__defined_directional,triple_asymmetric,P0,50,defined_directional,16,10,10,10,10,10,10,10,10
triple_asymmetric__P1__soft_contact_dominant,triple_asymmetric,P1,100,soft_contact_dominant,16,10,10,10,10,10,10,10,10
triple_asymmetric__P1__defined_directional,triple_asymmetric,P1,100,defined_directional,16,10,10,10,10,10,10,10,10
triple_asymmetric__P2__soft_contact_dominant,triple_asymmetric,P2,200,soft_contact_dominant,16,10,10,10,10,10,10,10,10
triple_asymmetric__P2__defined_directional,triple_asymmetric,P2,200,defined_directional,16,10,10,10,10,10,10,10,10
triple_asymmetric__P3__soft_contact_dominant,triple_asymmetric,P3,400,soft_contact_dominant,16,10,10,10,10,10,10,11,9
triple_asymmetric__P3__defined_directional,triple_asymmetric,P3,400,defined_directional,16,10,10,10,10,10,10,10,10
triple_asymmetric__P4__soft_contact_dominant,triple_asymmetric,P4,800,soft_contact_dominant,16,10,10,10,10,10,10,10,10
triple_asymmetric__P4__defined_directional,triple_asymmetric,P4,800,defined_directional,16,10,10,10,10,10,10,10,10
triple_asymmetric__P5__soft_contact_dominant,triple_asymmetric,P5,1600,soft_contact_dominant,16,10,10,10,10,10,10,10,10
triple_asymmetric__P5__defined_directional,triple_asymmetric,P5,1600,defined_directional,16,10,10,10,10,10,10,10,10
triple_raking__P0__soft_contact_dominant,triple_raking,P0,50,soft_contact_dominant,16,10,10,10,10,10,10,10,10
triple_raking__P0__defined_directional,triple_raking,P0,50,defined_directional,16,10,10,10,10,10,10,10,10
triple_raking__P1__soft_contact_dominant,triple_raking,P1,100,soft_contact_dominant,16,10,10,10,10,10,10,10,10
triple_raking__P1__defined_directional,triple_raking,P1,100,defined_directional,16,10,10,10,10,10,10,10,10
triple_raking__P2__soft_contact_dominant,triple_raking,P2,200,soft_contact_dominant,16,10,10,10,10,10,10,10,10
triple_raking__P2__defined_directional,triple_raking,P2,200,defined_directional,16,10,10,10,10,10,10,10,10
triple_raking__P3__soft_contact_dominant,triple_raking,P3,400,soft_contact_dominant,16,10,10,10,10,10,9,10,11
triple_raking__P3__defined_directional,triple_raking,P3,400,defined_directional,16,10,10,10,10,10,10,10,10
triple_raking__P4__soft_contact_dominant,triple_raking,P4,800,soft_contact_dominant,16,10,10,10,10,10,10,10,10
triple_raking__P4__defined_directional,triple_raking,P4,800,defined_directional,16,10,10,10,10,10,10,10,10
triple_raking__P5__soft_contact_dominant,triple_raking,P5,1600,soft_contact_dominant,16,10,10,10,10,10,10,10,10
triple_raking__P5__defined_directional,triple_raking,P5,1600,defined_directional,16,10,10,10,10,10,10,10,10
