dimension,value,count
component_status_class,normal_proxy,480
component_status_class,scratch,480
component_status_class,surface_spot,480
component_status_class,discoloration,480
component_status_class,contamination,480
component_status_class,lead_breakage,480
component_status_class,body_chip,480
component_status_class,body_crack,480
synthetic_illuminance_proxy_bin_scene,P0,128
synthetic_illuminance_proxy_bin_scene,P1,128
synthetic_illuminance_proxy_bin_scene,P2,128
synthetic_illuminance_proxy_bin_scene,P3,128
synthetic_illuminance_proxy_bin_scene,P4,128
synthetic_illuminance_proxy_bin_scene,P5,128
multi_light_rig_scene,dual_opposed_neutral,192
multi_light_rig_scene,dual_cross_mixed_cct,192
multi_light_rig_scene,triple_asymmetric,192
multi_light_rig_scene,triple_raking,192
shadow_regime_scene,soft_contact_dominant,384
shadow_regime_scene,defined_directional,384
