scope,class,severity,recall_mean,recall_sample_std,recall_min,recall_max,support_per_run
class_severity,scratch,mild,0.8965517241,0.0000000000,0.8965517241,0.8965517241,29
class_severity,scratch,moderate,0.9770114943,0.0199086300,0.9655172414,1.0000000000,29
class_severity,scratch,severe,1.0000000000,0.0000000000,1.0000000000,1.0000000000,14
class_severity,surface_spot,mild,0.9425287356,0.0199086300,0.9310344828,0.9655172414,29
class_severity,surface_spot,moderate,1.0000000000,0.0000000000,1.0000000000,1.0000000000,29
class_severity,surface_spot,severe,1.0000000000,0.0000000000,1.0000000000,1.0000000000,14
class_severity,discoloration,mild,0.9655172414,0.0000000000,0.9655172414,0.9655172414,29
class_severity,discoloration,moderate,1.0000000000,0.0000000000,1.0000000000,1.0000000000,29
class_severity,discoloration,severe,1.0000000000,0.0000000000,1.0000000000,1.0000000000,14
class_severity,contamination,mild,0.8850574713,0.0526732839,0.8275862069,0.9310344828,29
class_severity,contamination,moderate,0.9885057471,0.0199086300,0.9655172414,1.0000000000,29
class_severity,contamination,severe,0.9761904762,0.0412393049,0.9285714286,1.0000000000,14
class_severity,lead_breakage,mild,1.0000000000,0.0000000000,1.0000000000,1.0000000000,29
class_severity,lead_breakage,moderate,1.0000000000,0.0000000000,1.0000000000,1.0000000000,29
class_severity,lead_breakage,severe,1.0000000000,0.0000000000,1.0000000000,1.0000000000,14
class_severity,body_chip,mild,0.8390804598,0.0526732839,0.7931034483,0.8965517241,29
class_severity,body_chip,moderate,1.0000000000,0.0000000000,1.0000000000,1.0000000000,29
class_severity,body_chip,severe,1.0000000000,0.0000000000,1.0000000000,1.0000000000,14
class_severity,body_crack,mild,0.9080459770,0.0199086300,0.8965517241,0.9310344828,29
class_severity,body_crack,moderate,0.9885057471,0.0199086300,0.9655172414,1.0000000000,29
class_severity,body_crack,severe,1.0000000000,0.0000000000,1.0000000000,1.0000000000,14
overall_severity,__all__,mild,0.9195402299,0.0123971009,0.9064039409,0.9310344828,203
overall_severity,__all__,moderate,0.9934318555,0.0028440900,0.9901477833,0.9950738916,203
overall_severity,__all__,severe,0.9965986395,0.0058913293,0.9897959184,1.0000000000,98
