epoch,phase,backbone_trainable,train_loss,train_accuracy,validation_loss,validation_accuracy,train_sample_count,optimizer_updates_this_epoch,optimizer_updates_cumulative,selected_as_best
1,head_warmup,NO,2.0237710476,0.1488095238,1.9549944401,0.1071428571,168,6,6,NO
2,head_warmup,NO,1.9539192120,0.1488095238,1.9397672415,0.1071428571,168,6,12,NO
3,head_warmup,NO,1.9201952616,0.1904761905,1.8747109175,0.2142857143,168,6,18,NO
4,head_warmup,NO,1.8621122837,0.2440476190,1.8300966024,0.3928571429,168,6,24,NO
5,fine_tune,YES,1.8111645977,0.2738095238,1.6205018759,0.4642857143,168,6,30,YES
6,fine_tune,YES,1.2985641559,0.6607142857,1.2686293125,0.5000000000,168,6,36,YES
7,fine_tune,YES,0.9649900496,0.7678571429,0.8004251122,0.7500000000,168,6,42,YES
8,fine_tune,YES,0.7251298924,0.8392857143,0.5337668657,0.7857142857,168,6,48,YES
9,fine_tune,YES,0.4917747577,0.9047619048,0.4470638633,0.7857142857,168,6,54,YES
10,fine_tune,YES,0.3655380607,0.9404761905,0.3939414620,0.7857142857,168,6,60,YES
11,fine_tune,YES,0.2979384984,0.9345238095,0.3134310544,0.8571428571,168,6,66,YES
12,fine_tune,YES,0.2096246332,0.9404761905,0.2525678575,0.8928571429,168,6,72,YES
13,fine_tune,YES,0.1698831866,0.9761904762,0.2112359703,0.9285714286,168,6,78,YES
14,fine_tune,YES,0.1397639997,0.9702380952,0.2039602846,0.8928571429,168,6,84,YES
15,fine_tune,YES,0.1035458309,0.9880952381,0.1885959208,0.9285714286,168,6,90,YES
16,fine_tune,YES,0.1150691869,0.9761904762,0.1396645159,0.9642857143,168,6,96,YES
17,fine_tune,YES,0.0805344588,0.9940476190,0.1355661601,0.9642857143,168,6,102,YES
18,fine_tune,YES,0.0653764227,0.9821428571,0.1314479858,0.9642857143,168,6,108,YES
19,fine_tune,YES,0.0421462736,0.9940476190,0.1017748117,0.9642857143,168,6,114,YES
20,fine_tune,YES,0.0463391605,0.9821428571,0.0975931287,0.9642857143,168,6,120,YES
21,fine_tune,YES,0.0537588941,0.9880952381,0.0947780833,0.9642857143,168,6,126,YES
22,fine_tune,YES,0.0238639104,1.0000000000,0.0696341395,0.9642857143,168,6,132,YES
23,fine_tune,YES,0.0300026763,0.9940476190,0.0546246469,0.9642857143,168,6,138,YES
24,fine_tune,YES,0.0213786326,1.0000000000,0.0525263362,0.9642857143,168,6,144,YES
25,fine_tune,YES,0.0157129431,1.0000000000,0.0499024503,1.0000000000,168,6,150,YES
26,fine_tune,YES,0.0271355879,1.0000000000,0.0512378886,1.0000000000,168,6,156,NO
27,fine_tune,YES,0.0133491528,1.0000000000,0.0513090305,1.0000000000,168,6,162,NO
28,fine_tune,YES,0.0215431003,1.0000000000,0.0512942933,0.9642857143,168,6,168,NO
29,fine_tune,YES,0.0103843732,1.0000000000,0.0467117950,1.0000000000,168,6,174,YES
30,fine_tune,YES,0.0130473361,1.0000000000,0.0418193415,1.0000000000,168,6,180,YES
