scope,class,severity,recall_mean,recall_sample_std,recall_min,recall_max,support_per_run
class_severity,scratch,mild,0.8965517241,0.0344827586,0.8620689655,0.9310344828,29
class_severity,scratch,moderate,0.9655172414,0.0344827586,0.9310344828,1.0000000000,29
class_severity,scratch,severe,1.0000000000,0.0000000000,1.0000000000,1.0000000000,14
class_severity,surface_spot,mild,0.8965517241,0.0000000000,0.8965517241,0.8965517241,29
class_severity,surface_spot,moderate,1.0000000000,0.0000000000,1.0000000000,1.0000000000,29
class_severity,surface_spot,severe,1.0000000000,0.0000000000,1.0000000000,1.0000000000,14
class_severity,discoloration,mild,0.9885057471,0.0199086300,0.9655172414,1.0000000000,29
class_severity,discoloration,moderate,1.0000000000,0.0000000000,1.0000000000,1.0000000000,29
class_severity,discoloration,severe,1.0000000000,0.0000000000,1.0000000000,1.0000000000,14
class_severity,contamination,mild,0.9195402299,0.0526732839,0.8620689655,0.9655172414,29
class_severity,contamination,moderate,0.9770114943,0.0398172599,0.9310344828,1.0000000000,29
class_severity,contamination,severe,1.0000000000,0.0000000000,1.0000000000,1.0000000000,14
class_severity,lead_breakage,mild,1.0000000000,0.0000000000,1.0000000000,1.0000000000,29
class_severity,lead_breakage,moderate,1.0000000000,0.0000000000,1.0000000000,1.0000000000,29
class_severity,lead_breakage,severe,1.0000000000,0.0000000000,1.0000000000,1.0000000000,14
class_severity,body_chip,mild,0.9540229885,0.0199086300,0.9310344828,0.9655172414,29
class_severity,body_chip,moderate,1.0000000000,0.0000000000,1.0000000000,1.0000000000,29
class_severity,body_chip,severe,1.0000000000,0.0000000000,1.0000000000,1.0000000000,14
class_severity,body_crack,mild,0.9080459770,0.0199086300,0.8965517241,0.9310344828,29
class_severity,body_crack,moderate,0.9885057471,0.0199086300,0.9655172414,1.0000000000,29
class_severity,body_crack,severe,1.0000000000,0.0000000000,1.0000000000,1.0000000000,14
overall_severity,__all__,mild,0.9376026273,0.0028440900,0.9359605911,0.9408866995,203
overall_severity,__all__,moderate,0.9901477833,0.0085322700,0.9802955665,0.9950738916,203
overall_severity,__all__,severe,1.0000000000,0.0000000000,1.0000000000,1.0000000000,98
