epoch,phase,backbone_trainable,train_loss,train_accuracy,validation_loss,validation_accuracy,selected_as_best
1,head_warmup,NO,2.0204031467,0.1011904762,1.9539211988,0.0714285714,NO
2,head_warmup,NO,1.9311855435,0.2321428571,1.9398795366,0.1428571429,NO
3,head_warmup,NO,1.8908775250,0.2142857143,1.8764934540,0.2142857143,NO
4,head_warmup,NO,1.8501510421,0.2916666667,1.8229855299,0.4285714286,NO
5,fine_tune,YES,1.7678795457,0.2619047619,1.6809288263,0.3571428571,YES
6,fine_tune,YES,1.1691669722,0.7261904762,1.3139591217,0.5714285714,YES
7,fine_tune,YES,0.8354505897,0.8154761905,0.7969738841,0.8928571429,YES
8,fine_tune,YES,0.5984807213,0.8511904762,0.4883891642,0.9285714286,YES
9,fine_tune,YES,0.3763432950,0.9583333333,0.3759000003,0.9642857143,YES
10,fine_tune,YES,0.2533713902,0.9583333333,0.3091578782,0.9642857143,YES
11,fine_tune,YES,0.1919897981,0.9880952381,0.2343327105,0.9642857143,YES
12,fine_tune,YES,0.1113327419,0.9940476190,0.2000435144,0.9642857143,YES
13,fine_tune,YES,0.0982577571,1.0000000000,0.1462159455,0.9642857143,YES
14,fine_tune,YES,0.0651239771,1.0000000000,0.1124794111,0.9642857143,YES
15,fine_tune,YES,0.0496740378,1.0000000000,0.0939332023,0.9642857143,YES
16,fine_tune,YES,0.0551455695,0.9940476190,0.0741770118,0.9642857143,YES
17,fine_tune,YES,0.0469569477,0.9940476190,0.0579025559,1.0000000000,YES
18,fine_tune,YES,0.0294063396,1.0000000000,0.0476480350,1.0000000000,YES
19,fine_tune,YES,0.0159644390,1.0000000000,0.0427661128,1.0000000000,YES
20,fine_tune,YES,0.0206964539,1.0000000000,0.0378192477,1.0000000000,YES
21,fine_tune,YES,0.0228810137,1.0000000000,0.0322487876,1.0000000000,YES
22,fine_tune,YES,0.0117563844,1.0000000000,0.0317304507,1.0000000000,YES
23,fine_tune,YES,0.0120352437,1.0000000000,0.0287082996,1.0000000000,YES
24,fine_tune,YES,0.0150121244,1.0000000000,0.0272738673,1.0000000000,YES
25,fine_tune,YES,0.0098678127,1.0000000000,0.0244830847,1.0000000000,YES
26,fine_tune,YES,0.0161070651,1.0000000000,0.0231259000,1.0000000000,YES
27,fine_tune,YES,0.0063115215,1.0000000000,0.0247820355,1.0000000000,NO
28,fine_tune,YES,0.0107029044,1.0000000000,0.0267053936,1.0000000000,NO
29,fine_tune,YES,0.0080496637,1.0000000000,0.0259423349,1.0000000000,NO
30,fine_tune,YES,0.0101838533,1.0000000000,0.0262793042,1.0000000000,NO
