epoch,phase,backbone_trainable,train_loss,train_accuracy,validation_loss,validation_accuracy,selected_as_best
1,head_warmup,NO,1.8855379110,0.2508503401,1.7850649357,0.3214285714,NO
2,head_warmup,NO,1.6444449595,0.4880952381,1.5687757730,0.3928571429,NO
3,head_warmup,NO,1.4486005477,0.6173469388,1.4167690277,0.5714285714,NO
4,head_warmup,NO,1.3033488308,0.7040816327,1.3210426569,0.6428571429,NO
5,fine_tune,YES,0.6137472216,0.8188775510,0.1879385263,0.9642857143,YES
6,fine_tune,YES,0.0908524676,0.9863945578,0.1098636389,0.9642857143,YES
7,fine_tune,YES,0.0279190770,0.9965986395,0.0498280860,0.9642857143,YES
8,fine_tune,YES,0.0127917194,0.9991496599,0.0399457887,1.0000000000,YES
9,fine_tune,YES,0.0081615549,1.0000000000,0.0394107103,0.9642857143,YES
10,fine_tune,YES,0.0062311939,0.9991496599,0.0220265985,1.0000000000,YES
11,fine_tune,YES,0.0041363000,1.0000000000,0.0177333411,1.0000000000,YES
12,fine_tune,YES,0.0033685365,1.0000000000,0.0244545974,1.0000000000,NO
13,fine_tune,YES,0.0025033381,1.0000000000,0.0078439424,1.0000000000,YES
14,fine_tune,YES,0.0028129249,1.0000000000,0.0064358530,1.0000000000,YES
15,fine_tune,YES,0.0015898395,1.0000000000,0.0115233064,1.0000000000,NO
16,fine_tune,YES,0.0022813547,1.0000000000,0.0228332002,1.0000000000,NO
17,fine_tune,YES,0.0013264173,1.0000000000,0.0091137374,1.0000000000,NO
18,fine_tune,YES,0.0011371926,1.0000000000,0.0113169206,1.0000000000,NO
19,fine_tune,YES,0.0012451198,1.0000000000,0.0188009776,1.0000000000,NO
20,fine_tune,YES,0.0011943127,1.0000000000,0.0133826984,1.0000000000,NO
