sample_id,image_path,true_class,severity,predicted_class,correct,confidence,probability_scratch,probability_surface_spot,probability_discoloration,probability_contamination,probability_lead_breakage,probability_body_chip,probability_body_crack
syn-v2-700-scratch-0021,synthetic/v2_700/images/scratch/syn-v2-700-scratch-0021.jpg,scratch,mild,scratch,YES,0.900573273500,0.900573273500,0.005907369118,0.001200717137,0.002307589748,0.016020340224,0.069674261225,0.004316456150
syn-v2-700-scratch-0035,synthetic/v2_700/images/scratch/syn-v2-700-scratch-0035.jpg,scratch,mild,scratch,YES,0.968886633714,0.968886633714,0.010749559772,0.000290372263,0.001333034520,0.008881564563,0.005918902578,0.003939947307
syn-v2-700-scratch-0077,synthetic/v2_700/images/scratch/syn-v2-700-scratch-0077.jpg,scratch,mild,scratch,YES,0.926069418589,0.926069418589,0.002582724982,0.000351351618,0.001328828201,0.055482235427,0.013352012883,0.000833518240
syn-v2-700-scratch-0045,synthetic/v2_700/images/scratch/syn-v2-700-scratch-0045.jpg,scratch,mild,scratch,YES,0.999767661095,0.999767661095,0.000044917168,0.000031931138,0.000037082952,0.000029546443,0.000028243378,0.000060673678
syn-v2-700-scratch-0088,synthetic/v2_700/images/scratch/syn-v2-700-scratch-0088.jpg,scratch,mild,scratch,YES,0.999896208445,0.999896208445,0.000023964530,0.000001696954,0.000005520744,0.000003422639,0.000047158260,0.000021990385
syn-v2-700-scratch-0069,synthetic/v2_700/images/scratch/syn-v2-700-scratch-0069.jpg,scratch,mild,scratch,YES,0.999250094096,0.999250094096,0.000045591007,0.000021515571,0.000059251942,0.000087003418,0.000321571444,0.000215008641
syn-v2-700-scratch-0017,synthetic/v2_700/images/scratch/syn-v2-700-scratch-0017.jpg,scratch,mild,scratch,YES,0.999391714732,0.999391714732,0.000127450051,0.000018044195,0.000033723553,0.000174955915,0.000083730113,0.000170357721
syn-v2-700-scratch-0042,synthetic/v2_700/images/scratch/syn-v2-700-scratch-0042.jpg,scratch,mild,scratch,YES,0.999665439129,0.999665439129,0.000153711754,0.000017575115,0.000029451886,0.000011774680,0.000082220552,0.000039866893
syn-v2-700-scratch-0048,synthetic/v2_700/images/scratch/syn-v2-700-scratch-0048.jpg,scratch,mild,scratch,YES,0.998669167360,0.998669167360,0.000582254637,0.000021658815,0.000059062363,0.000174546888,0.000403333903,0.000090000603
syn-v2-700-scratch-0013,synthetic/v2_700/images/scratch/syn-v2-700-scratch-0013.jpg,scratch,mild,scratch,YES,0.526182562113,0.526182562113,0.009331190959,0.003980738266,0.026051706828,0.110326429208,0.319144465029,0.004982871935
