scope,class,severity,recall,support,correct
class_severity,scratch,mild,0.9655172414,29,28
class_severity,scratch,moderate,1.0000000000,29,29
class_severity,scratch,severe,1.0000000000,14,14
class_severity,surface_spot,mild,1.0000000000,29,29
class_severity,surface_spot,moderate,1.0000000000,29,29
class_severity,surface_spot,severe,1.0000000000,14,14
class_severity,discoloration,mild,0.9655172414,29,28
class_severity,discoloration,moderate,1.0000000000,29,29
class_severity,discoloration,severe,1.0000000000,14,14
class_severity,contamination,mild,0.9310344828,29,27
class_severity,contamination,moderate,1.0000000000,29,29
class_severity,contamination,severe,1.0000000000,14,14
class_severity,lead_breakage,mild,1.0000000000,29,29
class_severity,lead_breakage,moderate,1.0000000000,29,29
class_severity,lead_breakage,severe,1.0000000000,14,14
class_severity,body_chip,mild,1.0000000000,29,29
class_severity,body_chip,moderate,1.0000000000,29,29
class_severity,body_chip,severe,1.0000000000,14,14
class_severity,body_crack,mild,0.8965517241,29,26
class_severity,body_crack,moderate,1.0000000000,29,29
class_severity,body_crack,severe,1.0000000000,14,14
overall_severity,__all__,mild,0.9655172414,203,196
overall_severity,__all__,moderate,1.0000000000,203,203
overall_severity,__all__,severe,1.0000000000,98,98
